Kinton Kinka Canada Holdings inc
Parent : Franchise - Restaurant/Brand Roll Up : Franchise Restaurant - Canada : Franchise Restaurant - Kinton Ramen : Franchise Restaurant - Kinton Ramen - British Columbia : Kinton Ramen Robson - KRF0018
Sales by Item Detail
"February 2, 2026 - February 8, 2026"


Item ,Type ,Date ,Document Number ,Description ,Serial Numbers ,Qty. Sold ,Sales Price ,Revenue 
Discount,,,,,,,,
Marketing Adjustment 03 (KR),,,,,,,,
,Cash Sale,2/5/2026,4419072,,,,,-$8.00
Total - Marketing Adjustment 03 (KR),,,,,,,,-$8.00
Total - Discount,,,,,,,,-$8.00
Kit/Package,,,,,,,,
$Bamboo Shoots (KR),,,,,,,,
,Cash Sale,2/2/2026,4417901,,,1.00,,$2.49
,Cash Sale,2/3/2026,4418287,,,2.00,,$3.98
,Cash Sale,2/6/2026,4419472,,,1.00,,$2.49
,Cash Sale,2/6/2026,4419468,,,1.00,,$2.49
,Cash Sale,2/7/2026,4419873,,,2.00,,$4.98
,Cash Sale,2/8/2026,4420264,,,1.00,,$1.99
Total - $Bamboo Shoots (KR),,,,,,,,$18.42
$Beansprouts (KR),,,,,,,,
,Cash Sale,2/3/2026,4418290,,,1.00,,$2.49
,Cash Sale,2/4/2026,4418683,,,2.00,,$4.98
,Cash Sale,2/4/2026,4418680,,,2.00,,$3.98
,Cash Sale,2/5/2026,4419070,,,1.00,,$2.49
,Cash Sale,2/5/2026,4419067,,,1.00,,$1.99
,Cash Sale,2/6/2026,4419467,,,1.00,,$1.99
,Cash Sale,2/7/2026,4419872,,,2.00,,$3.98
,Cash Sale,2/7/2026,4419874,,,1.00,,$2.49
,Cash Sale,2/8/2026,4420264,,,2.00,,$3.98
Total - $Beansprouts (KR),,,,,,,,$28.37
$Beef (KR),,,,,,,,
,Cash Sale,2/2/2026,4417901,,,1.00,,$5.99
,Cash Sale,2/4/2026,4418683,,,1.00,,$5.99
,Cash Sale,2/4/2026,4418680,,,4.00,,$23.96
,Cash Sale,2/5/2026,4419067,,,3.00,,$17.97
,Cash Sale,2/6/2026,4419467,,,2.00,,$11.98
,Cash Sale,2/7/2026,4419872,,,3.00,,$17.97
,Cash Sale,2/8/2026,4420264,,,4.00,,$23.96
,Cash Sale,2/8/2026,4420261,,,1.00,,$5.99
Total - $Beef (KR),,,,,,,,$113.81
$Chicken Breast (KR),,,,,,,,
,Cash Sale,2/2/2026,4417901,,,1.00,,$3.99
,Cash Sale,2/2/2026,4417900,,,4.00,,$15.96
,Cash Sale,2/3/2026,4418290,,,2.00,,$7.98
,Cash Sale,2/4/2026,4418683,,,1.00,,$3.99
,Cash Sale,2/4/2026,4418680,,,1.00,,$3.99
,Cash Sale,2/5/2026,4419067,,,3.00,,$11.97
,Cash Sale,2/6/2026,4419467,,,1.00,,$3.99
,Cash Sale,2/6/2026,4419474,,,1.00,,$3.99
,Cash Sale,2/7/2026,4419872,,,3.00,,$11.97
,Cash Sale,2/8/2026,4420264,,,1.00,,$3.99
