ingredient,order_status,suggested_order_qty,order_date,receive_date,current_stock,stock_count_date,days_from_stock_count_to_receive,pending_arriving_by_receive_qty,next_expected_delivery,avg_daily_consumption,std_daily_consumption,std_weekly_consumption,next_week_expected_consumption,next_week_consumption_lower,next_week_consumption_upper,sales_based_daily_consumption,effective_daily_consumption,predicted_consumption_until_receive,projected_stock_on_receive_before_new_order,required_stock,max_stock_after_delivery,max_allowed_order_qty,raw_order_suggestion,avg_period_consumption,total_recent_consumption,related_recent_sales_qty,sales_based_period_consumption,mapped_product_count,periods_used,std_periods_used,adjustment_count_recent,order_multiple
edamame,OK,0,2026-07-09,2026-07-10,1.5,2026-07-08,2,0.0,,0.17812499999999998,0.09164298936634489,0.24246455926588534,1.2468749999999997,1.0044104407341143,1.4893395592658851,0.06171428571428546,0.17812499999999998,0.35624999999999996,1.14375,2.0,2.0,0.85625,0.0,1.0999999999999999,2.1999999999999997,18.0,0.4319999999999982,1,2,4,0,1.0
ito togarashi,OK,0,2026-07-09,2026-07-10,2.0,2026-07-08,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,,0.0,0.0,0.0,0.0,0.0,1,2,4,0,1.0
kizami nori,OK,0,2026-07-09,2026-07-10,4.0,2026-07-08,2,0.0,,0.125,0.14930394055974097,0.3950210964830444,0.875,0.4799789035169556,1.2700210964830445,0.02255639097744334,0.125,0.25,3.75,2.0,2.0,0.0,0.0,1.0,2.0,54.0,0.1578947368421034,1,2,4,0,1.0
pork broth,OK,0,2026-07-09,2026-07-10,5.0,2026-07-08,2,0.0,,0.40625,0.1943203969393503,0.5141234449688777,2.84375,2.329626555031122,3.357873444968878,0.2307692307692304,0.40625,0.8125,4.1875,4.0,4.0,0.0,0.0,2.75,5.5,252.0,1.6153846153846128,6,2,4,0,1.0
sencha,OK,0,2026-07-09,2026-07-10,2.0,2026-07-08,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,0.0,0.0,0.0,10.0,0.0,1,2,4,0,1.0
sesame dressing,OK,0,2026-07-09,2026-07-10,7.0,2026-07-08,2,0.0,,0.2625,0.1024017143953709,0.27092947011681434,1.8375000000000001,1.5665705298831858,2.1084294701168145,0.0,0.2625,0.525,6.475,3.0,,,0.0,2.1,4.2,0.0,0.0,0,2,4,1,1.0
tonkatsu sauce,OK,0,2026-07-09,2026-07-10,1.0,2026-07-08,2,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,21.0,0.0,1,2,4,0,1.0
wood ear mushroom,OK,0,2026-07-09,2026-07-10,24.0,2026-07-08,2,0.0,,2.6875,0.818885166959731,2.1665665040950546,18.8125,16.645933495904945,20.979066504095055,1.7381974248927023,2.6875,5.375,18.625,24.0,24.0,5.375,5.375,16.5,33.0,540.0,12.167381974248917,19,2,4,0,6.0
yuzu juice,OK,0,2026-07-09,2026-07-10,5.0,2026-07-08,2,0.0,,0.0,0.16249999999999998,0.42993458804799595,0.0,0.0,0.42993458804799595,0.0,0.0,0.0,5.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0,2,4,0,1.0
oi ocha,Order,19,2026-07-09,2026-07-10,9.0,2026-07-08,2,0.0,,1.5625,0.6538481177698007,1.7299195148265651,10.9375,9.207580485173434,12.667419514826566,0.6428571428571429,1.5625,3.125,5.875,24.0,,,18.125,8.5,17.0,6.0,4.5,1,2,4,1,1.0
menma bamboo shoot,Order,10,2026-07-09,2026-07-10,40.0,2026-07-08,2,0.0,,4.8125,1.4032761765874093,3.712719783991844,33.6875,29.974780216008156,37.400219783991844,2.7842761265580007,4.8125,9.625,30.375,45.0,45.0,14.625,14.625,30.0,60.0,616.0,19.489932885906004,22,2,4,0,10.0
hondashi,Order,1,2026-07-09,2026-07-10,0.4,2026-07-08,2,0.0,,0.03749999999999999,0.03749999999999999,0.09921567416492214,0.26249999999999996,0.16328432583507782,0.3617156741649221,0.0,0.03749999999999999,0.07499999999999998,0.32500000000000007,1.0,,,0.6749999999999999,0.14999999999999997,0.29999999999999993,0.0,0.0,0,2,4,0,1.0
inari,Order,1,2026-07-09,2026-07-10,10.0,2026-07-08,2,0.0,,0.375,0.2204792759220492,0.5833333333333333,2.625,2.041666666666667,3.208333333333333,0.18367346938775506,0.375,0.75,9.25,10.0,,,0.75,2.5,5.0,57.0,1.2857142857142854,8,2,4,0,1.0
red ginger,Order,1,2026-07-09,2026-07-10,2.0,2026-07-08,2,0.0,,0.1875,0.10206207261596575,0.27003086243366087,1.3125,1.042469137566339,1.582530862433661,0.1149068322981366,0.1875,0.375,1.625,2.0,,,0.375,1.0,2.0,74.0,0.8043478260869562,4,2,4,0,1.0
wasabi,Order,1,2026-07-09,2026-07-10,0.0,2026-07-08,2,0.0,,0.1,0.09442465581086332,0.24982415690841434,0.7000000000000001,0.45017584309158576,0.9498241569084144,0.0,0.1,0.2,0.0,0.5,,,0.5,0.4,0.8,0.0,0.0,0,2,4,0,1.0
