Category,Product name,Qty. Sold,Revenue,Date,Day,Month,Year,Weekday,Document Number,Transaction Type,Source File
Other,100% Discount Item (KR),4.0,-23.96,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,25% Item Staff Discount (KR),1.0,-10.75,2025-03-24,24,3,2025,Monday,4183497.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,25% Receipt Staff Discount (KR),1.0,-6.25,2025-03-24,24,3,2025,Monday,4183497.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Side,Age Gyoza (Pork) (KR),1.0,7.99,2025-03-24,24,3,2025,Monday,4183495.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Side,Age Gyoza (Pork) (KR),1.0,7.99,2025-03-24,24,3,2025,Monday,4183512.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Side,Age Gyoza (Pork) (KR),16.0,27.97,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Side,Age Gyoza (Pork) (KR),8.0,20.98,2025-03-24,24,3,2025,Monday,4183497.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Side,Age Gyoza (Pork) (KR),1.0,0.0,2025-03-24,24,3,2025,Monday,4183506.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Side,Age Gyoza (Pork) (KR),2.0,6.99,2025-03-24,24,3,2025,Monday,4183502.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Side,Age Gyoza (Pork) (KR),1.0,7.99,2025-03-24,24,3,2025,Monday,4183499.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Side,Age Gyoza (Pork) (KR),1.0,0.0,2025-03-24,24,3,2025,Monday,4183503.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Side,Age Gyoza (Pork) (KR),4.0,13.98,2025-03-24,24,3,2025,Monday,4183513.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Side,Age Gyoza (Pork) (KR),2.0,15.98,2025-03-24,24,3,2025,Monday,4183511.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Side,Age Gyoza (Pork) (KR),2.0,0.0,2025-03-24,24,3,2025,Monday,4183507.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Side,Age Gyoza (Pork) (KR),1.0,7.99,2025-03-24,24,3,2025,Monday,4183505.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Side,Age Gyoza (Veg) (KR),1.0,0.0,2025-03-24,24,3,2025,Monday,4183503.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Side,Age Gyoza (Veg) (KR),3.0,13.98,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Side,Age Gyoza (Veg) (KR),3.0,6.99,2025-03-24,24,3,2025,Monday,4183502.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,BOGO Special 1 (KR),2.0,19.98,2025-03-24,24,3,2025,Monday,4183495.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,BOGO Special 1 (KR),6.0,59.94,2025-03-24,24,3,2025,Monday,4183512.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,BOGO Special 1 (KR),2.0,19.98,2025-03-24,24,3,2025,Monday,4183501.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Topping,Bamboo Shoots (KR),1.0,1.99,2025-03-24,24,3,2025,Monday,4183502.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Topping,Bamboo Shoots (KR),4.0,7.96,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Topping,Beansprouts (KR),1.0,1.99,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Topping,Beef (KR),1.0,5.99,2025-03-24,24,3,2025,Monday,4183496.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Side,Beef Donburi (KR),1.0,12.99,2025-03-24,24,3,2025,Monday,4183505.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Side,Beef Donburi (KR),4.0,51.96,2025-03-24,24,3,2025,Monday,4183512.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Side,Beef Donburi (KR),4.0,51.96,2025-03-24,24,3,2025,Monday,4183501.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Side,Beef Donburi (KR),4.0,51.96,2025-03-24,24,3,2025,Monday,4183507.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Beef Miso (KR),2.0,19.99,2025-03-24,24,3,2025,Monday,4183502.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Beef Miso (KR),1.0,17.99,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Beef Original (KR),1.0,19.99,2025-03-24,24,3,2025,Monday,4183495.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Beef Original (KR),1.0,16.99,2025-03-24,24,3,2025,Monday,4183510.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Beef Original (KR),6.0,53.97,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Beef Original (KR),6.0,37.98,2025-03-24,24,3,2025,Monday,4183497.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Beef Original (KR),1.0,19.99,2025-03-24,24,3,2025,Monday,4183492.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Beef Plain Ramen (KR),1.0,1.0,2025-03-24,24,3,2025,Monday,4183502.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Beef Shoyu (KR),1.0,1.0,2025-03-24,24,3,2025,Monday,4183502.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Beef Shoyu (KR),3.0,3.0,2025-03-24,24,3,2025,Monday,4183497.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Beef Shoyu (KR),1.0,27.99,2025-03-24,24,3,2025,Monday,4183506.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Beef Spicy (KR),1.0,17.99,2025-03-24,24,3,2025,Monday,4183496.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Beef Spicy (KR),4.0,55.97,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Beef Spicy (KR),2.0,35.98,2025-03-24,24,3,2025,Monday,4183497.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Beef Spicy (KR),3.0,37.98,2025-03-24,24,3,2025,Monday,4183502.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Beef Spicy (KR),1.0,20.99,2025-03-24,24,3,2025,Monday,4183499.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Beef Spicy (KR),1.0,2.0,2025-03-24,24,3,2025,Monday,4183503.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Beef Spicy (KR),3.0,53.97,2025-03-24,24,3,2025,Monday,4183513.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Beef Spicy (KR),1.0,20.99,2025-03-24,24,3,2025,Monday,4183511.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,Beer Choice (KR),2.0,0.0,2025-03-24,24,3,2025,Monday,4183497.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,Beer Choice (KR),2.0,0.0,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Topping,Chicken Breast (KR),1.0,3.99,2025-03-24,24,3,2025,Monday,4183513.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Chicken Miso (KR),1.0,19.99,2025-03-24,24,3,2025,Monday,4183511.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Chicken Miso (KR),2.0,33.98,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Chicken Original (KR),2.0,31.98,2025-03-24,24,3,2025,Monday,4183513.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Chicken Original (KR),8.0,79.95,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Chicken Original (KR),3.0,47.97,2025-03-24,24,3,2025,Monday,4183498.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Chicken Original (KR),5.0,79.95,2025-03-24,24,3,2025,Monday,4183497.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Chicken Original (KR),2.0,15.99,2025-03-24,24,3,2025,Monday,4183502.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Chicken Shoyu (KR),1.0,18.99,2025-03-24,24,3,2025,Monday,4183504.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Chicken Shoyu (KR),1.0,18.99,2025-03-24,24,3,2025,Monday,4183512.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Chicken Shoyu (KR),1.0,26.99,2025-03-24,24,3,2025,Monday,4183507.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Chicken Spicy Jalapeno (KR),2.0,17.99,2025-03-24,24,3,2025,Monday,4183502.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Drink,Coke (KR),1.0,0.0,2025-03-24,24,3,2025,Monday,4183513.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Drink,Coke (KR),3.0,2.99,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Drink,Coke (KR),4.0,0.0,2025-03-24,24,3,2025,Monday,4183497.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Drink,Coke (KR),1.0,0.0,2025-03-24,24,3,2025,Monday,4183503.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Drink,Coke Zero (KR),1.0,0.0,2025-03-24,24,3,2025,Monday,4183502.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Drink,Coke Zero (KR),1.0,0.0,2025-03-24,24,3,2025,Monday,4183497.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Topping,Corn (KR),1.0,2.49,2025-03-24,24,3,2025,Monday,4183492.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Topping,Corn (KR),4.0,7.96,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Topping,Corn (KR),1.0,1.99,2025-03-24,24,3,2025,Monday,4183497.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
