Kinton Kinka Canada Holdings inc
Parent : Franchise - Restaurant/Brand Roll Up : Franchise Restaurant - Canada : Franchise Restaurant - Kinton Ramen : Franchise Restaurant - Kinton Ramen - British Columbia : Kinton Ramen Robson - KRF0018
Sales by Item Detail
"March 24, 2025 - March 30, 2025"


Item ,Type ,Date ,Document Number ,Description ,Serial Numbers ,Qty. Sold ,Sales Price ,Revenue 
Kit/Package,,,,,,,,
$Bamboo Shoots (KR),,,,,,,,
,Cash Sale,3/24/2025,4183502,,,1.00,,$1.99
,Cash Sale,3/24/2025,4183509,,,4.00,,$7.96
,Cash Sale,3/25/2025,4184335,,,1.00,,$2.49
,Cash Sale,3/26/2025,4185186,,,1.00,,$1.99
,Cash Sale,3/26/2025,4185195,,,1.00,,$1.99
,Cash Sale,3/26/2025,4185191,,,1.00,,$1.99
,Cash Sale,3/27/2025,4186066,,,1.00,,$1.99
,Cash Sale,3/27/2025,4186049,,,1.00,,$1.99
,Cash Sale,3/29/2025,4187895,,,1.00,,$0.00
Total - $Bamboo Shoots (KR),,,,,,,,$22.39
$Beansprouts (KR),,,,,,,,
,Cash Sale,3/24/2025,4183509,,,1.00,,$1.99
,Cash Sale,3/25/2025,4184338,,,1.00,,$2.49
,Cash Sale,3/25/2025,4184336,,,4.00,,$7.96
,Cash Sale,3/25/2025,4184328,,,1.00,,$1.99
,Cash Sale,3/26/2025,4185200,,,1.00,,$1.99
,Cash Sale,3/26/2025,4185196,,,1.00,,$1.99
,Cash Sale,3/26/2025,4185186,,,1.00,,$1.99
,Cash Sale,3/28/2025,4186972,,,1.00,,$1.99
,Cash Sale,3/28/2025,4186954,,,2.00,,$3.98
,Cash Sale,3/30/2025,4188762,,,1.00,,$1.99
Total - $Beansprouts (KR),,,,,,,,$28.36
$Beef (KR),,,,,,,,
,Cash Sale,3/24/2025,4183496,,,1.00,,$5.99
,Cash Sale,3/25/2025,4184328,,,1.00,,$5.99
,Cash Sale,3/26/2025,4185193,,,1.00,,$5.99
,Cash Sale,3/28/2025,4186954,,,1.00,,$5.99
,Cash Sale,3/29/2025,4187894,,,1.00,,$5.99
,Cash Sale,3/29/2025,4187895,,,1.00,,$5.99
,Cash Sale,3/29/2025,4187897,,,1.00,,$5.99
,Cash Sale,3/30/2025,4188774,,,1.00,,$5.99
,Cash Sale,3/30/2025,4188762,,,1.00,,$5.99
Total - $Beef (KR),,,,,,,,$53.91
$Chicken Breast (KR),,,,,,,,
,Cash Sale,3/24/2025,4183513,,,1.00,,$3.99
,Cash Sale,3/25/2025,4184333,,,1.00,,$3.99
,Cash Sale,3/25/2025,4184336,,,2.00,,$7.98
,Cash Sale,3/26/2025,4185193,,,1.00,,$3.99
,Cash Sale,3/26/2025,4185191,,,1.00,,$3.99
,Cash Sale,3/27/2025,4186066,,,1.00,,$3.99
,Cash Sale,3/27/2025,4186053,,,1.00,,$3.99
,Cash Sale,3/28/2025,4186971,,,2.00,,$7.98
,Cash Sale,3/28/2025,4186968,,,1.00,,$3.99
,Cash Sale,3/28/2025,4186954,,,2.00,,$7.98
,Cash Sale,3/29/2025,4187893,,,1.00,,$3.99
,Cash Sale,3/29/2025,4187895,,,1.00,,$3.99
,Cash Sale,3/29/2025,4187897,,,1.00,,$3.99
,Cash Sale,3/29/2025,4187894,,,3.00,,$11.97
,Cash Sale,3/30/2025,4188778,,,1.00,,$3.99
,Cash Sale,3/30/2025,4188775,,,1.00,,$3.99
Total - $Chicken Breast (KR),,,,,,,,$83.79
$Corn (KR),,,,,,,,
,Cash Sale,3/24/2025,4183492,,,1.00,,$2.49
,Cash Sale,3/24/2025,4183509,,,4.00,,$7.96
,Cash Sale,3/24/2025,4183497,,,1.00,,$1.99
,Cash Sale,3/25/2025,4184338,,,1.00,,$2.49
,Cash Sale,3/25/2025,4184336,,,1.00,,$1.99
,Cash Sale,3/26/2025,4185198,,,1.00,,$2.49
,Cash Sale,3/26/2025,4185195,,,1.00,,$1.99
,Cash Sale,3/26/2025,4185191,,,1.00,,$1.99
,Cash Sale,3/26/2025,4185186,,,1.00,,$1.99
,Cash Sale,3/27/2025,4186061,,,3.00,,$5.97
,Cash Sale,3/27/2025,4186066,,,1.00,,$1.99
,Cash Sale,3/28/2025,4186962,,,1.00,,$1.99
,Cash Sale,3/28/2025,4186968,,,1.00,,$1.99
,Cash Sale,3/28/2025,4186954,,,1.00,,$1.99
,Cash Sale,3/28/2025,4186961,,,1.00,,$1.99
,Cash Sale,3/28/2025,4186972,,,1.00,,$1.99
,Cash Sale,3/29/2025,4187893,,,2.00,,$3.98
,Cash Sale,3/29/2025,4187895,,,1.00,,$1.99
,Cash Sale,3/29/2025,4187897,,,2.00,,$3.98
,Cash Sale,3/29/2025,4187894,,,2.00,,$3.98
,Cash Sale,3/30/2025,4188764,,,2.00,,$4.98
,Cash Sale,3/30/2025,4188762,,,2.00,,$3.98
,Cash Sale,3/30/2025,4188774,,,1.00,,$1.99
Total - $Corn (KR),,,,,,,,$68.17
$Egg (KR),,,,,,,,
,Cash Sale,3/24/2025,4183495,,,1.00,,$2.49
,Cash Sale,3/24/2025,4183512,,,2.00,,$4.98
,Cash Sale,3/24/2025,4183509,,,6.00,,$11.94
,Cash Sale,3/24/2025,4183498,,,1.00,,$1.99
,Cash Sale,3/24/2025,4183497,,,4.00,,$7.96
,Cash Sale,3/24/2025,4183502,,,4.00,,$7.96
,Cash Sale,3/24/2025,4183493,,,1.00,,$2.49
,Cash Sale,3/24/2025,4183513,,,5.00,,$9.95
,Cash Sale,3/24/2025,4183507,,,2.00,,$4.98
,Cash Sale,3/25/2025,4184332,,,4.00,,$7.96
,Cash Sale,3/25/2025,4184336,,,8.00,,$15.92
,Cash Sale,3/25/2025,4184335,,,1.00,,$2.49
,Cash Sale,3/25/2025,4184331,,,2.00,,$4.98
,Cash Sale,3/25/2025,4184327,,,2.00,,$4.98
,Cash Sale,3/25/2025,4184328,,,4.00,,$7.96
,Cash Sale,3/25/2025,4184337,,,1.00,,$2.49
,Cash Sale,3/25/2025,4184333,,,3.00,,$7.47
,Cash Sale,3/25/2025,4184341,,,3.00,,$5.97
,Cash Sale,3/25/2025,4184342,,,1.00,,$1.99
,Cash Sale,3/25/2025,4184338,,,2.00,,$4.98
,Cash Sale,3/26/2025,4185198,,,1.00,,$2.49
