Kinton Kinka Canada Holdings inc
Parent : Franchise - Restaurant/Brand Roll Up : Franchise Restaurant - Canada : Franchise Restaurant - Kinton Ramen : Franchise Restaurant - Kinton Ramen - British Columbia : Kinton Ramen Robson - KRF0018
Sales by Item Detail
"March 31, 2025 - April 6, 2025"


Item ,Type ,Date ,Document Number ,Description ,Serial Numbers ,Qty. Sold ,Sales Price ,Revenue 
Kit/Package,,,,,,,,
$1.5 Topping (KR),,,,,,,,
,Cash Sale,4/2/2025,4191438,,,1.00,,$1.50
Total - $1.5 Topping (KR),,,,,,,,$1.50
$Bamboo Shoots (KR),,,,,,,,
,Cash Sale,3/31/2025,4189786,,,2.00,,$4.98
,Cash Sale,4/1/2025,4190598,,,1.00,,$1.99
,Cash Sale,4/1/2025,4190600,,,1.00,,$2.49
,Cash Sale,4/3/2025,4192282,,,1.00,,$1.99
,Cash Sale,4/4/2025,4193138,,,1.00,,$1.99
,Cash Sale,4/4/2025,4193141,,,1.00,,$1.99
,Cash Sale,4/4/2025,4193128,,,3.00,,$5.97
,Cash Sale,4/4/2025,4193133,,,4.00,,$7.96
,Cash Sale,4/4/2025,4193132,,,1.00,,$2.49
,Cash Sale,4/5/2025,4194031,,,1.00,,$1.99
,Cash Sale,4/5/2025,4194036,,,2.00,,$4.98
,Cash Sale,4/5/2025,4194030,,,1.00,,$2.49
,Cash Sale,4/5/2025,4194034,,,2.00,,$3.98
,Cash Sale,4/6/2025,4194913,,,1.00,,$2.49
,Cash Sale,4/6/2025,4194921,,,1.00,,$1.99
Total - $Bamboo Shoots (KR),,,,,,,,$49.77
$Beansprouts (KR),,,,,,,,
,Cash Sale,3/31/2025,4189771,,,1.00,,$2.49
,Cash Sale,4/1/2025,4190590,,,1.00,,$2.49
,Cash Sale,4/2/2025,4191425,,,2.00,,$3.98
,Cash Sale,4/2/2025,4191434,,,2.00,,$3.98
,Cash Sale,4/3/2025,4192281,,,1.00,,$1.99
,Cash Sale,4/3/2025,4192282,,,2.00,,$3.98
,Cash Sale,4/4/2025,4193137,,,1.00,,$2.49
,Cash Sale,4/4/2025,4193140,,,2.00,,$4.98
,Cash Sale,4/4/2025,4193128,,,2.00,,$3.98
,Cash Sale,4/4/2025,4193133,,,3.00,,$5.97
,Cash Sale,4/4/2025,4193132,,,1.00,,$2.49
,Cash Sale,4/4/2025,4193138,,,2.00,,$3.98
,Cash Sale,4/6/2025,4194915,,,1.00,,$1.99
,Cash Sale,4/6/2025,4194910,,,3.00,,$5.97
Total - $Beansprouts (KR),,,,,,,,$50.76
$Beef (KR),,,,,,,,
,Cash Sale,3/31/2025,4189784,,,1.00,,$5.99
,Cash Sale,3/31/2025,4189777,,,1.00,,$5.99
,Cash Sale,4/2/2025,4191425,,,1.00,,$0.00
,Cash Sale,4/3/2025,4192286,,,1.00,,$5.99
,Cash Sale,4/3/2025,4192274,,,1.00,,$5.99
,Cash Sale,4/4/2025,4193136,,,1.00,,$5.99
,Cash Sale,4/5/2025,4194034,,,1.00,,$5.99
Total - $Beef (KR),,,,,,,,$35.94
$Chicken Breast (KR),,,,,,,,
