Kinton Kinka Canada Holdings inc
Parent : Franchise - Restaurant/Brand Roll Up : Franchise Restaurant - Canada : Franchise Restaurant - Kinton Ramen : Franchise Restaurant - Kinton Ramen - British Columbia : Kinton Ramen Robson - KRF0018
Sales by Item Detail
"April 21, 2025 - April 27, 2025"


Item ,Type ,Date ,Document Number ,Description ,Serial Numbers ,Qty. Sold ,Sales Price ,Revenue 
Kit/Package,,,,,,,,
$Bamboo Shoots (KR),,,,,,,,
,Cash Sale,4/22/2025,4208980,,,1.00,,$2.49
,Cash Sale,4/22/2025,4208981,,,2.00,,$3.98
,Cash Sale,4/22/2025,4208983,,,1.00,,$2.49
,Cash Sale,4/23/2025,4209837,,,1.00,,$1.99
,Cash Sale,4/24/2025,4210691,,,1.00,,$1.99
,Cash Sale,4/24/2025,4210688,,,1.00,,$1.99
,Cash Sale,4/24/2025,4210687,,,1.00,,$1.99
,Cash Sale,4/25/2025,4211604,,,1.00,,$1.99
,Cash Sale,4/25/2025,4211610,,,1.00,,$2.49
,Cash Sale,4/25/2025,4211607,,,2.00,,$4.98
,Cash Sale,4/27/2025,4213422,,,1.00,,$1.99
,Cash Sale,4/27/2025,4213424,,,1.00,,$1.99
,Cash Sale,4/27/2025,4213415,,,1.00,,$1.99
,Cash Sale,4/27/2025,4213410,,,1.00,,$2.49
Total - $Bamboo Shoots (KR),,,,,,,,$34.84
$Beansprouts (KR),,,,,,,,
,Cash Sale,4/21/2025,4208143,,,1.00,,$1.99
,Cash Sale,4/21/2025,4208133,,,1.00,,$1.99
,Cash Sale,4/22/2025,4208981,,,1.00,,$1.99
,Cash Sale,4/23/2025,4209839,,,1.00,,$2.49
,Cash Sale,4/23/2025,4209837,,,1.00,,$1.99
,Cash Sale,4/24/2025,4210699,,,2.00,,$3.98
,Cash Sale,4/25/2025,4211600,,,1.00,,$1.99
,Cash Sale,4/26/2025,4212529,,,2.00,,$3.98
,Cash Sale,4/26/2025,4212533,,,1.00,,$1.99
,Cash Sale,4/26/2025,4212525,,,1.00,,$2.49
,Cash Sale,4/27/2025,4213406,,,1.00,,$1.99
,Cash Sale,4/27/2025,4213417,,,1.00,,$1.99
Total - $Beansprouts (KR),,,,,,,,$28.86
$Beef (KR),,,,,,,,
,Cash Sale,4/21/2025,4208129,,,1.00,,$5.99
,Cash Sale,4/21/2025,4208141,,,1.00,,$5.99
,Cash Sale,4/22/2025,4208983,,,1.00,,$5.99
,Cash Sale,4/23/2025,4209831,,,1.00,,$5.99
,Cash Sale,4/23/2025,4209842,,,2.00,,$11.98
,Cash Sale,4/25/2025,4211604,,,1.00,,$5.99
,Cash Sale,4/25/2025,4211611,,,1.00,,$5.99
,Cash Sale,4/26/2025,4212529,,,2.00,,$11.98
,Cash Sale,4/27/2025,4213423,,,2.00,,$11.98
,Cash Sale,4/27/2025,4213416,,,1.00,,$5.99
Total - $Beef (KR),,,,,,,,$77.87
$Chicken Breast (KR),,,,,,,,
,Cash Sale,4/21/2025,4208127,,,1.00,,$3.99
,Cash Sale,4/22/2025,4208983,,,1.00,,$3.99
,Cash Sale,4/22/2025,4208981,,,1.00,,$3.99
,Cash Sale,4/22/2025,4208975,,,2.00,,$7.98
,Cash Sale,4/23/2025,4209833,,,1.00,,$3.99
,Cash Sale,4/23/2025,4209842,,,2.00,,$7.98
,Cash Sale,4/23/2025,4209831,,,1.00,,$3.99
,Cash Sale,4/24/2025,4210692,,,1.00,,$3.99
,Cash Sale,4/24/2025,4210687,,,3.00,,$11.97
,Cash Sale,4/25/2025,4211604,,,1.00,,$3.99
,Cash Sale,4/25/2025,4211600,,,2.00,,$7.98
,Cash Sale,4/26/2025,4212529,,,2.00,,$7.98
,Cash Sale,4/26/2025,4212521,,,1.00,,$3.99
,Cash Sale,4/27/2025,4213406,,,1.00,,$3.99
,Cash Sale,4/27/2025,4213423,,,1.00,,$3.99
Total - $Chicken Breast (KR),,,,,,,,$83.79
$Corn (KR),,,,,,,,
,Cash Sale,4/21/2025,4208129,,,1.00,,$1.99
,Cash Sale,4/21/2025,4208143,,,1.00,,$1.99
,Cash Sale,4/21/2025,4208141,,,2.00,,$4.98
,Cash Sale,4/22/2025,4208986,,,3.00,,$7.47
,Cash Sale,4/22/2025,4208978,,,2.00,,$4.98
,Cash Sale,4/22/2025,4208987,,,3.00,,$5.97
,Cash Sale,4/23/2025,4209838,,,1.00,,$1.99
,Cash Sale,4/23/2025,4209842,,,1.00,,$1.99
,Cash Sale,4/23/2025,4209841,,,2.00,,$4.98
,Cash Sale,4/24/2025,4210693,,,1.00,,$2.49
,Cash Sale,4/24/2025,4210699,,,3.00,,$5.97
,Cash Sale,4/24/2025,4210687,,,2.00,,$3.98
,Cash Sale,4/25/2025,4211614,,,1.00,,$1.99
,Cash Sale,4/25/2025,4211611,,,2.00,,$4.98
,Cash Sale,4/25/2025,4211610,,,1.00,,$2.49
,Cash Sale,4/25/2025,4211609,,,1.00,,$1.99
,Cash Sale,4/26/2025,4212529,,,2.00,,$3.98
,Cash Sale,4/26/2025,4212534,,,1.00,,$1.99
,Cash Sale,4/26/2025,4212533,,,1.00,,$1.99
,Cash Sale,4/26/2025,4212525,,,1.00,,$2.49
,Cash Sale,4/26/2025,4212521,,,2.00,,$3.98
,Cash Sale,4/27/2025,4213423,,,1.00,,$1.99
,Cash Sale,4/27/2025,4213405,,,1.00,,$2.49
,Cash Sale,4/27/2025,4213418,,,1.00,,$2.49
Total - $Corn (KR),,,,,,,,$81.63
$Egg (KR),,,,,,,,
,Cash Sale,4/21/2025,4208129,,,5.00,,$9.95
,Cash Sale,4/21/2025,4208139,,,1.00,,$2.49
,Cash Sale,4/21/2025,4208138,,,2.00,,$3.98
,Cash Sale,4/21/2025,4208137,,,3.00,,$5.97
,Cash Sale,4/21/2025,4208133,,,1.00,,$1.99
,Cash Sale,4/21/2025,4208132,,,2.00,,$4.98
,Cash Sale,4/21/2025,4208131,,,1.00,,$2.49
,Cash Sale,4/21/2025,4208136,,,2.00,,$4.98
,Cash Sale,4/21/2025,4208135,,,2.00,,$4.98
,Cash Sale,4/21/2025,4208124,,,2.00,,$4.98
,Cash Sale,4/21/2025,4208143,,,2.00,,$3.98
,Cash Sale,4/21/2025,4208141,,,6.00,,$14.94
,Cash Sale,4/22/2025,4208983,,,3.00,,$7.47
