Kinton Kinka Canada Holdings inc
Parent : Franchise - Restaurant/Brand Roll Up : Franchise Restaurant - Canada : Franchise Restaurant - Kinton Ramen : Franchise Restaurant - Kinton Ramen - British Columbia : Kinton Ramen Robson - KRF0018
Sales by Item Detail
"January 26, 2026 - February 1, 2026"


Item ,Type ,Date ,Document Number ,Description ,Serial Numbers ,Qty. Sold ,Sales Price ,Revenue 
Discount,,,,,,,,
Marketing Adjustment 03 (KR),,,,,,,,
,Cash Sale,1/26/2026,4415036,,,,,-$8.00
Total - Marketing Adjustment 03 (KR),,,,,,,,-$8.00
Total - Discount,,,,,,,,-$8.00
Kit/Package,,,,,,,,
$1 Topping (KR),,,,,,,,
,Cash Sale,1/29/2026,4416222,,,1.00,,$1.00
Total - $1 Topping (KR),,,,,,,,$1.00
$Bamboo Shoots (KR),,,,,,,,
,Cash Sale,1/26/2026,4415037,,,1.00,,$1.99
,Cash Sale,1/27/2026,4415408,,,3.00,,$7.47
,Cash Sale,1/29/2026,4416226,,,1.00,,$2.49
,Cash Sale,1/29/2026,4416222,,,2.00,,$3.98
,Cash Sale,1/30/2026,4416637,,,1.00,,$1.99
,Cash Sale,1/30/2026,4416639,,,2.00,,$4.98
,Cash Sale,1/31/2026,4417077,,,1.00,,$1.99
,Cash Sale,1/31/2026,4417073,,,1.00,,$2.49
,Cash Sale,2/1/2026,4417515,,,1.00,,$2.49
,Cash Sale,2/1/2026,4417506,,,1.00,,$2.49
,Cash Sale,2/1/2026,4417507,,,1.00,,$1.99
Total - $Bamboo Shoots (KR),,,,,,,,$34.35
$Beansprouts (KR),,,,,,,,
,Cash Sale,1/26/2026,4415037,,,4.00,,$7.96
,Cash Sale,1/26/2026,4415038,,,1.00,,$2.49
,Cash Sale,1/27/2026,4415413,,,1.00,,$1.99
,Cash Sale,1/28/2026,4415805,,,1.00,,$1.99
,Cash Sale,1/29/2026,4416222,,,5.00,,$9.95
,Cash Sale,1/31/2026,4417077,,,2.00,,$3.98
,Cash Sale,2/1/2026,4417507,,,2.00,,$3.98
Total - $Beansprouts (KR),,,,,,,,$32.34
$Beef (KR),,,,,,,,
,Cash Sale,1/26/2026,4415037,,,2.00,,$11.98
,Cash Sale,1/26/2026,4415039,,,1.00,,$5.99
,Cash Sale,1/28/2026,4415804,,,2.00,,$11.98
,Cash Sale,1/30/2026,4416637,,,1.00,,$5.99
,Cash Sale,1/30/2026,4416640,,,1.00,,$5.99
,Cash Sale,2/1/2026,4417506,,,1.00,,$5.99
Total - $Beef (KR),,,,,,,,$47.92
$Chicken Breast (KR),,,,,,,,
,Cash Sale,1/27/2026,4415413,,,3.00,,$11.97
,Cash Sale,1/28/2026,4415808,,,2.00,,$7.98
,Cash Sale,1/29/2026,4416226,,,2.00,,$7.98
,Cash Sale,1/29/2026,4416222,,,1.00,,$3.99
,Cash Sale,1/30/2026,4416642,,,1.00,,$3.99
,Cash Sale,1/30/2026,4416640,,,1.00,,$3.99
,Cash Sale,1/30/2026,4416637,,,3.00,,$11.97
