Kinton Kinka Canada Holdings inc
Parent : Franchise - Restaurant/Brand Roll Up : Franchise Restaurant - Canada : Franchise Restaurant - Kinton Ramen : Franchise Restaurant - Kinton Ramen - British Columbia : Kinton Ramen Robson - KRF0018
Sales by Item Detail
"February 9, 2026 - February 15, 2026"


Item ,Type ,Date ,Document Number ,Description ,Serial Numbers ,Qty. Sold ,Sales Price ,Revenue 
Kit/Package,,,,,,,,
$1 Topping (KR),,,,,,,,
,Cash Sale,2/10/2026,4421023,,,1.00,,$1.00
Total - $1 Topping (KR),,,,,,,,$1.00
$Bamboo Shoots (KR),,,,,,,,
,Cash Sale,2/9/2026,4420639,,,3.00,,$5.97
,Cash Sale,2/10/2026,4421023,,,2.00,,$3.98
,Cash Sale,2/11/2026,4421431,,,1.00,,$1.99
,Cash Sale,2/12/2026,4421844,,,2.00,,$3.98
,Cash Sale,2/12/2026,4421846,,,1.00,,$1.99
,Cash Sale,2/13/2026,4422279,,,1.00,,$2.49
,Cash Sale,2/15/2026,4423115,,,3.00,,$5.97
,Cash Sale,2/15/2026,4423116,,,2.00,,$4.98
Total - $Bamboo Shoots (KR),,,,,,,,$31.35
$Beansprouts (KR),,,,,,,,
,Cash Sale,2/9/2026,4420642,,,1.00,,$2.49
,Cash Sale,2/9/2026,4420639,,,3.00,,$5.97
,Cash Sale,2/10/2026,4421023,,,6.00,,$11.94
,Cash Sale,2/11/2026,4421436,,,1.00,,$2.49
,Cash Sale,2/13/2026,4422278,,,1.00,,$1.99
,Cash Sale,2/13/2026,4422282,,,2.00,,$4.98
,Cash Sale,2/13/2026,4422279,,,3.00,,$7.47
,Cash Sale,2/14/2026,4422705,,,4.00,,$7.96
,Cash Sale,2/15/2026,4423118,,,1.00,,$2.49
Total - $Beansprouts (KR),,,,,,,,$47.78
$Beef (KR),,,,,,,,
,Cash Sale,2/9/2026,4420639,,,1.00,,$5.99
,Cash Sale,2/10/2026,4421023,,,2.00,,$11.98
,Cash Sale,2/10/2026,4421024,,,1.00,,$5.99
,Cash Sale,2/11/2026,4421431,,,2.00,,$11.98
,Cash Sale,2/12/2026,4421844,,,2.00,,$11.98
,Cash Sale,2/13/2026,4422281,,,2.00,,$11.98
,Cash Sale,2/14/2026,4422705,,,1.00,,$5.99
,Cash Sale,2/14/2026,4422706,,,1.00,,$5.99
,Cash Sale,2/15/2026,4423115,,,1.00,,$5.99
Total - $Beef (KR),,,,,,,,$77.87
$Chicken Breast (KR),,,,,,,,
,Cash Sale,2/9/2026,4420641,,,1.00,,$3.99
,Cash Sale,2/9/2026,4420639,,,1.00,,$3.99
,Cash Sale,2/9/2026,4420642,,,1.00,,$3.99
,Cash Sale,2/10/2026,4421023,,,1.00,,$3.99
,Cash Sale,2/10/2026,4421025,,,1.00,,$3.99
,Cash Sale,2/11/2026,4421431,,,1.00,,$3.99
,Cash Sale,2/11/2026,4421434,,,4.00,,$15.96
,Cash Sale,2/11/2026,4421436,,,2.00,,$7.98
,Cash Sale,2/11/2026,4421432,,,2.00,,$7.98
,Cash Sale,2/12/2026,4421849,,,1.00,,$3.99
,Cash Sale,2/12/2026,4421845,,,1.00,,$3.99
,Cash Sale,2/13/2026,4422278,,,2.00,,$7.98
,Cash Sale,2/13/2026,4422281,,,2.00,,$7.98
,Cash Sale,2/13/2026,4422282,,,2.00,,$7.98
,Cash Sale,2/14/2026,4422705,,,2.00,,$7.98
,Cash Sale,2/15/2026,4423116,,,2.00,,$7.98
Total - $Chicken Breast (KR),,,,,,,,$103.74
$Corn (KR),,,,,,,,
,Cash Sale,2/9/2026,4420642,,,1.00,,$2.49
,Cash Sale,2/9/2026,4420639,,,4.00,,$7.96
,Cash Sale,2/10/2026,4421026,,,1.00,,$2.49
,Cash Sale,2/10/2026,4421023,,,6.00,,$11.94
,Cash Sale,2/11/2026,4421431,,,1.00,,$1.99
,Cash Sale,2/12/2026,4421844,,,2.00,,$3.98
,Cash Sale,2/12/2026,4421848,,,1.00,,$2.49
,Cash Sale,2/12/2026,4421845,,,2.00,,$4.98
,Cash Sale,2/13/2026,4422278,,,1.00,,$1.99
,Cash Sale,2/13/2026,4422281,,,5.00,,$9.95
,Cash Sale,2/13/2026,4422279,,,2.00,,$4.98
,Cash Sale,2/14/2026,4422705,,,2.00,,$3.98
,Cash Sale,2/15/2026,4423121,,,1.00,,$2.49
,Cash Sale,2/15/2026,4423116,,,1.00,,$2.49
,Cash Sale,2/15/2026,4423115,,,5.00,,$9.95
Total - $Corn (KR),,,,,,,,$74.15
$Egg (KR),,,,,,,,
,Cash Sale,2/9/2026,4420645,,,2.00,,$3.98
,Cash Sale,2/9/2026,4420639,,,20.00,,$39.80
,Cash Sale,2/9/2026,4420643,,,3.00,,$7.47
,Cash Sale,2/9/2026,4420642,,,5.00,,$12.45
,Cash Sale,2/9/2026,4420647,,,1.00,,$2.49
,Cash Sale,2/10/2026,4421026,,,4.00,,$9.96
,Cash Sale,2/10/2026,4421024,,,2.00,,$4.98
,Cash Sale,2/10/2026,4421023,,,29.00,,$57.71
,Cash Sale,2/11/2026,4421431,,,30.00,,$59.70
,Cash Sale,2/11/2026,4421434,,,9.00,,$22.41
,Cash Sale,2/11/2026,4421433,,,1.00,,$2.49
,Cash Sale,2/11/2026,4421432,,,2.00,,$4.98
,Cash Sale,2/12/2026,4421849,,,1.00,,$2.49
,Cash Sale,2/12/2026,4421848,,,5.00,,$12.45
,Cash Sale,2/12/2026,4421846,,,1.00,,$1.99
,Cash Sale,2/12/2026,4421845,,,6.00,,$14.94
,Cash Sale,2/12/2026,4421844,,,41.00,,$81.59
,Cash Sale,2/13/2026,4422278,,,1.00,,$1.99
,Cash Sale,2/13/2026,4422284,,,1.00,,$2.49
,Cash Sale,2/13/2026,4422281,,,41.00,,$81.59
,Cash Sale,2/13/2026,4422280,,,2.00,,$4.98
,Cash Sale,2/13/2026,4422279,,,18.00,,$44.82
,Cash Sale,2/14/2026,4422705,,,43.00,,$85.57
,Cash Sale,2/14/2026,4422710,,,1.00,,$1.99
,Cash Sale,2/14/2026,4422707,,,6.00,,$14.94
,Cash Sale,2/14/2026,4422706,,,5.00,,$12.45
,Cash Sale,2/14/2026,4422709,,,3.00,,$7.47
,Cash Sale,2/15/2026,4423119,,,2.00,,$4.98
,Cash Sale,2/15/2026,4423118,,,4.00,,$9.96
,Cash Sale,2/15/2026,4423116,,,12.00,,$29.88
,Cash Sale,2/15/2026,4423115,,,38.00,,$75.62
Total - $Egg (KR),,,,,,,,$720.61
$Extra Shirataki Noodle (KR),,,,,,,,
,Cash Sale,2/10/2026,4421023,,,1.00,,$3.99
,Cash Sale,2/12/2026,4421845,,,1.00,,$3.99
Total - $Extra Shirataki Noodle (KR),,,,,,,,$7.98
$Fried Bean Curb (KR),,,,,,,,
,Cash Sale,2/9/2026,4420642,,,1.00,,$2.99
,Cash Sale,2/9/2026,4420639,,,2.00,,$5.98
,Cash Sale,2/10/2026,4421028,,,1.00,,$2.99
,Cash Sale,2/10/2026,4421024,,,1.00,,$2.99
,Cash Sale,2/10/2026,4421023,,,2.00,,$5.98
,Cash Sale,2/11/2026,4421431,,,2.00,,$5.98
,Cash Sale,2/11/2026,4421434,,,1.00,,$2.99
,Cash Sale,2/11/2026,4421436,,,1.00,,$2.99
,Cash Sale,2/12/2026,4421844,,,2.00,,$5.98
,Cash Sale,2/12/2026,4421845,,,1.00,,$2.99
,Cash Sale,2/13/2026,4422281,,,2.00,,$5.98
,Cash Sale,2/14/2026,4422705,,,4.00,,$11.96
,Cash Sale,2/15/2026,4423115,,,3.00,,$8.97
,Cash Sale,2/15/2026,4423116,,,1.00,,$2.99
Total - $Fried Bean Curb (KR),,,,,,,,$71.76
$Garlic Oil (KR),,,,,,,,
,Cash Sale,2/9/2026,4420647,,,2.00,,$4.98
,Cash Sale,2/9/2026,4420639,,,1.00,,$1.99
,Cash Sale,2/13/2026,4422281,,,2.00,,$3.98
,Cash Sale,2/15/2026,4423115,,,3.00,,$5.97
Total - $Garlic Oil (KR),,,,,,,,$16.92
$Grated Garlic (KR),,,,,,,,
,Cash Sale,2/10/2026,4421023,,,1.00,,$1.99
,Cash Sale,2/11/2026,4421431,,,2.00,,$3.98
,Cash Sale,2/12/2026,4421844,,,1.00,,$1.99
,Cash Sale,2/12/2026,4421846,,,1.00,,$1.99
,Cash Sale,2/14/2026,4422705,,,2.00,,$3.98
,Cash Sale,2/15/2026,4423121,,,1.00,,$2.49
,Cash Sale,2/15/2026,4423115,,,4.00,,$7.96
Total - $Grated Garlic (KR),,,,,,,,$24.38
$Half Noodle - Thick (KR),,,,,,,,
,Cash Sale,2/9/2026,4420647,,,1.00,,$2.99
,Cash Sale,2/9/2026,4420639,,,4.00,,$7.96
,Cash Sale,2/10/2026,4421023,,,4.00,,$7.96
,Cash Sale,2/11/2026,4421431,,,8.00,,$15.92
,Cash Sale,2/11/2026,4421434,,,1.00,,$2.99
,Cash Sale,2/11/2026,4421432,,,2.00,,$5.98
,Cash Sale,2/12/2026,4421847,,,1.00,,$2.99
,Cash Sale,2/12/2026,4421845,,,1.00,,$2.99
,Cash Sale,2/13/2026,4422281,,,2.00,,$3.98
,Cash Sale,2/13/2026,4422283,,,1.00,,$2.99
,Cash Sale,2/14/2026,4422705,,,5.00,,$9.95
,Cash Sale,2/14/2026,4422707,,,2.00,,$5.98
Total - $Half Noodle - Thick (KR),,,,,,,,$72.68
$Half Noodle - Thin (KR),,,,,,,,
,Cash Sale,2/9/2026,4420639,,,1.00,,$1.99
,Cash Sale,2/10/2026,4421023,,,1.00,,$1.99
,Cash Sale,2/11/2026,4421431,,,4.00,,$7.96
,Cash Sale,2/12/2026,4421844,,,4.00,,$7.96
,Cash Sale,2/13/2026,4422279,,,2.00,,$5.98
,Cash Sale,2/13/2026,4422283,,,1.00,,$2.99
,Cash Sale,2/13/2026,4422281,,,1.00,,$1.99
,Cash Sale,2/14/2026,4422705,,,3.00,,$5.97
,Cash Sale,2/15/2026,4423115,,,2.00,,$3.98
,Cash Sale,2/15/2026,4423116,,,2.00,,$5.98
Total - $Half Noodle - Thin (KR),,,,,,,,$46.79
$Jalapeno Paste (KR),,,,,,,,
,Cash Sale,2/10/2026,4421024,,,2.00,,$4.98
,Cash Sale,2/11/2026,4421434,,,1.00,,$2.49
,Cash Sale,2/14/2026,4422705,,,1.00,,$1.99
,Cash Sale,2/15/2026,4423115,,,1.00,,$1.99
Total - $Jalapeno Paste (KR),,,,,,,,$11.45
$Nori (KR),,,,,,,,
,Cash Sale,2/11/2026,4421431,,,1.00,,$1.49
,Cash Sale,2/13/2026,4422281,,,4.00,,$5.96
,Cash Sale,2/14/2026,4422705,,,2.00,,$2.98
,Cash Sale,2/15/2026,4423115,,,4.00,,$5.96
,Cash Sale,2/15/2026,4423118,,,1.00,,$1.99
,Cash Sale,2/15/2026,4423116,,,2.00,,$3.98
