Kinton Kinka Canada Holdings inc
Parent : Franchise - Restaurant/Brand Roll Up : Franchise Restaurant - Canada : Franchise Restaurant - Kinton Ramen : Franchise Restaurant - Kinton Ramen - British Columbia : Kinton Ramen Robson - KRF0018
Sales by Item Detail
"February 23, 2026 - March 1, 2026"


Item ,Type ,Date ,Document Number ,Description ,Serial Numbers ,Qty. Sold ,Sales Price ,Revenue 
Kit/Package,,,,,,,,
$1 Topping (KR),,,,,,,,
,Cash Sale,3/1/2026,4428805,,,1.00,,$1.00
Total - $1 Topping (KR),,,,,,,,$1.00
$Bamboo Shoots (KR),,,,,,,,
,Cash Sale,2/23/2026,4426338,,,4.00,,$7.96
,Cash Sale,2/25/2026,4427139,,,1.00,,$1.99
,Cash Sale,2/26/2026,4427541,,,5.00,,$9.95
,Cash Sale,2/27/2026,4427961,,,4.00,,$7.96
,Cash Sale,2/28/2026,4428385,,,1.00,,$2.49
,Cash Sale,2/28/2026,4428386,,,1.00,,$1.99
,Cash Sale,3/1/2026,4428805,,,2.00,,$3.98
,Cash Sale,3/1/2026,4428807,,,4.00,,$9.96
,Cash Sale,3/1/2026,4428809,,,1.00,,$1.99
,Cash Sale,3/1/2026,4428806,,,2.00,,$4.98
Total - $Bamboo Shoots (KR),,,,,,,,$53.25
$Beansprouts (KR),,,,,,,,
,Cash Sale,2/23/2026,4426341,,,1.00,,$1.99
,Cash Sale,2/23/2026,4426338,,,2.00,,$3.98
,Cash Sale,2/24/2026,4426728,,,1.00,,$1.99
,Cash Sale,2/25/2026,4427139,,,3.00,,$5.97
,Cash Sale,2/26/2026,4427541,,,4.00,,$7.96
,Cash Sale,2/27/2026,4427961,,,2.00,,$3.98
,Cash Sale,2/28/2026,4428385,,,2.00,,$4.98
,Cash Sale,3/1/2026,4428805,,,2.00,,$3.98
Total - $Beansprouts (KR),,,,,,,,$34.83
$Beef (KR),,,,,,,,
,Cash Sale,2/23/2026,4426338,,,1.00,,$5.99
,Cash Sale,2/25/2026,4427139,,,1.00,,$5.99
,Cash Sale,2/27/2026,4427961,,,2.00,,$11.98
,Cash Sale,2/28/2026,4428385,,,2.00,,$11.98
,Cash Sale,2/28/2026,4428386,,,2.00,,$11.98
,Cash Sale,3/1/2026,4428805,,,5.00,,$29.95
,Cash Sale,3/1/2026,4428807,,,1.00,,$5.99
Total - $Beef (KR),,,,,,,,$83.86
$Chicken Breast (KR),,,,,,,,
,Cash Sale,2/23/2026,4426338,,,3.00,,$11.97
,Cash Sale,2/24/2026,4426728,,,1.00,,$3.99
,Cash Sale,2/25/2026,4427139,,,4.00,,$15.96
,Cash Sale,2/26/2026,4427541,,,1.00,,$3.99
,Cash Sale,2/27/2026,4427961,,,1.00,,$3.99
,Cash Sale,2/28/2026,4428383,,,2.00,,$7.98
Total - $Chicken Breast (KR),,,,,,,,$47.88
$Corn (KR),,,,,,,,
,Cash Sale,2/23/2026,4426336,,,1.00,,$2.49
,Cash Sale,2/23/2026,4426338,,,6.00,,$11.94
,Cash Sale,2/24/2026,4426728,,,1.00,,$1.99
,Cash Sale,2/25/2026,4427142,,,2.00,,$4.98
,Cash Sale,2/25/2026,4427139,,,7.00,,$13.93
,Cash Sale,2/26/2026,4427541,,,1.00,,$1.99
,Cash Sale,2/27/2026,4427966,,,1.00,,$2.49
,Cash Sale,2/27/2026,4427961,,,4.00,,$7.96
,Cash Sale,2/28/2026,4428392,,,1.00,,$2.49
,Cash Sale,2/28/2026,4428386,,,6.00,,$11.94
,Cash Sale,3/1/2026,4428805,,,2.00,,$3.98
,Cash Sale,3/1/2026,4428807,,,1.00,,$2.49
,Cash Sale,3/1/2026,4428806,,,6.00,,$14.94
Total - $Corn (KR),,,,,,,,$83.61
$Egg (KR),,,,,,,,
,Cash Sale,2/23/2026,4426336,,,8.00,,$19.92
,Cash Sale,2/23/2026,4426338,,,45.00,,$89.55
,Cash Sale,2/23/2026,4426342,,,6.00,,$14.94
,Cash Sale,2/23/2026,4426340,,,1.00,,$1.99
,Cash Sale,2/23/2026,4426341,,,1.00,,$1.99
,Cash Sale,2/23/2026,4426337,,,1.00,,$2.49
,Cash Sale,2/24/2026,4426731,,,1.00,,$2.49
,Cash Sale,2/24/2026,4426730,,,1.00,,$2.49
,Cash Sale,2/24/2026,4426729,,,1.00,,$2.49
,Cash Sale,2/24/2026,4426728,,,18.00,,$35.82
,Cash Sale,2/25/2026,4427142,,,10.00,,$24.90
,Cash Sale,2/25/2026,4427141,,,2.00,,$4.98
,Cash Sale,2/25/2026,4427139,,,49.00,,$97.51
,Cash Sale,2/25/2026,4427143,,,3.00,,$7.47
,Cash Sale,2/25/2026,4427145,,,1.00,,$2.49
,Cash Sale,2/26/2026,4427544,,,3.00,,$7.47
,Cash Sale,2/26/2026,4427542,,,1.00,,$2.49
,Cash Sale,2/26/2026,4427541,,,54.00,,$107.46
,Cash Sale,2/26/2026,4427545,,,2.00,,$4.98
,Cash Sale,2/26/2026,4427546,,,1.00,,$1.99
,Cash Sale,2/27/2026,4427963,,,7.00,,$17.43
,Cash Sale,2/27/2026,4427967,,,1.00,,$2.49
,Cash Sale,2/27/2026,4427961,,,46.00,,$91.54
,Cash Sale,2/27/2026,4427962,,,1.00,,$2.49
,Cash Sale,2/27/2026,4427965,,,3.00,,$5.97
,Cash Sale,2/28/2026,4428384,,,8.00,,$19.92
,Cash Sale,2/28/2026,4428386,,,47.00,,$93.53
,Cash Sale,2/28/2026,4428391,,,1.00,,$2.49
,Cash Sale,2/28/2026,4428390,,,1.00,,$1.99
,Cash Sale,2/28/2026,4428389,,,2.00,,$4.98
,Cash Sale,2/28/2026,4428385,,,8.00,,$19.92
,Cash Sale,3/1/2026,4428808,,,4.00,,$9.96
,Cash Sale,3/1/2026,4428807,,,9.00,,$22.41
,Cash Sale,3/1/2026,4428806,,,10.00,,$24.90
,Cash Sale,3/1/2026,4428805,,,39.00,,$77.61
Total - $Egg (KR),,,,,,,,$833.54
$Extra Shirataki Noodle (KR),,,,,,,,
,Cash Sale,2/27/2026,4427961,,,1.00,,$3.99
Total - $Extra Shirataki Noodle (KR),,,,,,,,$3.99
$Fried Bean Curb (KR),,,,,,,,
,Cash Sale,2/23/2026,4426338,,,5.00,,$14.95
,Cash Sale,2/24/2026,4426728,,,3.00,,$8.97
,Cash Sale,2/24/2026,4426732,,,1.00,,$2.99
,Cash Sale,2/25/2026,4427139,,,3.00,,$8.97
,Cash Sale,2/27/2026,4427962,,,1.00,,$2.99
,Cash Sale,2/27/2026,4427961,,,6.00,,$17.94
,Cash Sale,2/28/2026,4428386,,,1.00,,$2.99
,Cash Sale,3/1/2026,4428805,,,5.00,,$14.95
,Cash Sale,3/1/2026,4428806,,,4.00,,$11.96
Total - $Fried Bean Curb (KR),,,,,,,,$86.71
$Garlic Oil (KR),,,,,,,,
,Cash Sale,2/23/2026,4426338,,,3.00,,$5.97
,Cash Sale,2/26/2026,4427542,,,1.00,,$2.49
,Cash Sale,2/28/2026,4428384,,,1.00,,$2.49
,Cash Sale,2/28/2026,4428391,,,1.00,,$2.49
,Cash Sale,3/1/2026,4428806,,,2.00,,$4.98
Total - $Garlic Oil (KR),,,,,,,,$18.42
$Grated Garlic (KR),,,,,,,,
,Cash Sale,2/23/2026,4426336,,,1.00,,$2.49
,Cash Sale,2/24/2026,4426728,,,1.00,,$1.99
,Cash Sale,2/25/2026,4427143,,,2.00,,$4.98
,Cash Sale,2/26/2026,4427541,,,1.00,,$1.99
,Cash Sale,2/27/2026,4427963,,,2.00,,$4.98
,Cash Sale,2/27/2026,4427961,,,2.00,,$3.98
,Cash Sale,2/28/2026,4428386,,,4.00,,$7.96
,Cash Sale,3/1/2026,4428805,,,2.00,,$3.98
Total - $Grated Garlic (KR),,,,,,,,$32.35
$Half Noodle - Thick (KR),,,,,,,,
,Cash Sale,2/23/2026,4426336,,,6.00,,$17.94
,Cash Sale,2/23/2026,4426338,,,3.00,,$5.97
,Cash Sale,2/23/2026,4426339,,,2.00,,$5.98
,Cash Sale,2/24/2026,4426728,,,3.00,,$5.97
,Cash Sale,2/24/2026,4426730,,,1.00,,$2.99
,Cash Sale,2/25/2026,4427145,,,2.00,,$5.98
,Cash Sale,2/25/2026,4427139,,,5.00,,$9.95
,Cash Sale,2/25/2026,4427143,,,2.00,,$5.98
,Cash Sale,2/26/2026,4427544,,,2.00,,$5.98
,Cash Sale,2/26/2026,4427541,,,9.00,,$17.91
,Cash Sale,2/26/2026,4427543,,,2.00,,$5.98
,Cash Sale,2/27/2026,4427966,,,2.00,,$5.98
,Cash Sale,2/27/2026,4427961,,,6.00,,$11.94
,Cash Sale,2/27/2026,4427962,,,4.00,,$11.96
,Cash Sale,2/28/2026,4428384,,,3.00,,$8.97
,Cash Sale,2/28/2026,4428386,,,2.00,,$3.98
,Cash Sale,2/28/2026,4428391,,,1.00,,$2.99
,Cash Sale,3/1/2026,4428805,,,1.00,,$1.99
,Cash Sale,3/1/2026,4428806,,,2.00,,$5.98
Total - $Half Noodle - Thick (KR),,,,,,,,$144.42
$Half Noodle - Thin (KR),,,,,,,,
,Cash Sale,2/23/2026,4426336,,,2.00,,$5.98
,Cash Sale,2/23/2026,4426338,,,4.00,,$7.96
,Cash Sale,2/24/2026,4426728,,,8.00,,$15.92
,Cash Sale,2/25/2026,4427143,,,2.00,,$5.98
,Cash Sale,2/25/2026,4427141,,,2.00,,$5.98
,Cash Sale,2/25/2026,4427139,,,3.00,,$5.97
,Cash Sale,2/26/2026,4427543,,,1.00,,$2.99
,Cash Sale,2/26/2026,4427541,,,5.00,,$9.95
,Cash Sale,2/27/2026,4427961,,,3.00,,$5.97
,Cash Sale,2/28/2026,4428386,,,11.00,,$21.89
,Cash Sale,3/1/2026,4428805,,,3.00,,$5.97
Total - $Half Noodle - Thin (KR),,,,,,,,$94.56
$Jalapeno Paste (KR),,,,,,,,
,Cash Sale,2/23/2026,4426338,,,2.00,,$3.98
,Cash Sale,2/24/2026,4426728,,,1.00,,$1.99
,Cash Sale,2/25/2026,4427139,,,1.00,,$1.99
,Cash Sale,2/26/2026,4427541,,,1.00,,$1.99
,Cash Sale,2/27/2026,4427961,,,3.00,,$5.97
,Cash Sale,2/28/2026,4428384,,,1.00,,$2.49
,Cash Sale,3/1/2026,4428805,,,1.00,,$1.99
Total - $Jalapeno Paste (KR),,,,,,,,$20.40
$Nori (KR),,,,,,,,
,Cash Sale,2/25/2026,4427139,,,1.00,,$1.49
,Cash Sale,2/26/2026,4427541,,,2.00,,$2.98
,Cash Sale,2/28/2026,4428386,,,2.00,,$2.98
,Cash Sale,3/1/2026,4428807,,,1.00,,$1.99
Total - $Nori (KR),,,,,,,,$9.44
$Pork (KR),,,,,,,,
,Cash Sale,2/23/2026,4426336,,,1.00,,$3.99
,Cash Sale,2/23/2026,4426338,,,3.00,,$11.97
