Kinton Kinka Canada Holdings inc
Parent : Franchise - Restaurant/Brand Roll Up : Franchise Restaurant - Canada : Franchise Restaurant - Kinton Ramen : Franchise Restaurant - Kinton Ramen - British Columbia : Kinton Ramen Robson - KRF0018
Sales by Item Detail
"March 9, 2026 - March 15, 2026"


Item ,Type ,Date ,Document Number ,Description ,Serial Numbers ,Qty. Sold ,Sales Price ,Revenue 
Kit/Package,,,,,,,,
$Bamboo Shoots (KR),,,,,,,,
,Cash Sale,3/9/2026,4432007,,,3.00,,$5.97
,Cash Sale,3/10/2026,4432788,,,1.00,,$1.99
,Cash Sale,3/11/2026,4433156,,,3.00,,$7.47
,Cash Sale,3/13/2026,4433955,,,1.00,,$1.99
,Cash Sale,3/13/2026,4433957,,,1.00,,$2.49
,Cash Sale,3/13/2026,4433956,,,1.00,,$2.49
,Cash Sale,3/14/2026,4434378,,,2.00,,$3.98
,Cash Sale,3/15/2026,4435209,,,1.00,,$1.99
,Cash Sale,3/15/2026,4435212,,,1.00,,$2.49
Total - $Bamboo Shoots (KR),,,,,,,,$30.86
$Beansprouts (KR),,,,,,,,
,Cash Sale,3/10/2026,4432788,,,3.00,,$5.97
,Cash Sale,3/10/2026,4432790,,,1.00,,$2.49
,Cash Sale,3/11/2026,4433156,,,4.00,,$9.96
,Cash Sale,3/11/2026,4433157,,,1.00,,$1.99
,Cash Sale,3/12/2026,4434820,,,1.00,,$1.99
,Cash Sale,3/13/2026,4433955,,,1.00,,$1.99
,Cash Sale,3/13/2026,4433961,,,1.00,,$1.99
,Cash Sale,3/14/2026,4434378,,,3.00,,$5.97
,Cash Sale,3/15/2026,4435209,,,3.00,,$5.97
,Cash Sale,3/15/2026,4435210,,,2.00,,$4.98
Total - $Beansprouts (KR),,,,,,,,$43.30
$Beef (KR),,,,,,,,
,Cash Sale,3/9/2026,4432011,,,1.00,,$5.99
,Cash Sale,3/10/2026,4432788,,,3.00,,$17.97
,Cash Sale,3/11/2026,4433156,,,1.00,,$5.99
,Cash Sale,3/11/2026,4433157,,,2.00,,$11.98
,Cash Sale,3/12/2026,4434819,,,2.00,,$11.98
,Cash Sale,3/12/2026,4434817,,,1.00,,$5.99
,Cash Sale,3/13/2026,4433955,,,2.00,,$11.98
,Cash Sale,3/14/2026,4434378,,,4.00,,$23.96
,Cash Sale,3/15/2026,4435209,,,3.00,,$17.97
Total - $Beef (KR),,,,,,,,$113.81
$Chicken Breast (KR),,,,,,,,
,Cash Sale,3/9/2026,4432007,,,2.00,,$7.98
,Cash Sale,3/10/2026,4432788,,,2.00,,$7.98
,Cash Sale,3/11/2026,4433156,,,4.00,,$15.96
,Cash Sale,3/12/2026,4434817,,,2.00,,$7.98
,Cash Sale,3/13/2026,4433955,,,2.00,,$7.98
,Cash Sale,3/14/2026,4434378,,,3.00,,$11.97
,Cash Sale,3/15/2026,4435209,,,1.00,,$3.99
,Cash Sale,3/15/2026,4435215,,,1.00,,$3.99
Total - $Chicken Breast (KR),,,,,,,,$67.83
$Corn (KR),,,,,,,,
,Cash Sale,3/9/2026,4432007,,,2.00,,$3.98
,Cash Sale,3/10/2026,4432788,,,2.00,,$3.98
,Cash Sale,3/10/2026,4432794,,,1.00,,$2.49
,Cash Sale,3/11/2026,4433156,,,4.00,,$9.96
,Cash Sale,3/12/2026,4434820,,,1.00,,$1.99
,Cash Sale,3/12/2026,4434817,,,3.00,,$5.97
,Cash Sale,3/13/2026,4433955,,,4.00,,$7.96
,Cash Sale,3/13/2026,4433959,,,1.00,,$2.49
,Cash Sale,3/13/2026,4433957,,,1.00,,$2.49
,Cash Sale,3/14/2026,4434378,,,3.00,,$5.97
,Cash Sale,3/14/2026,4434384,,,1.00,,$2.49
,Cash Sale,3/15/2026,4435209,,,4.00,,$7.96
,Cash Sale,3/15/2026,4435212,,,1.00,,$2.49
,Cash Sale,3/15/2026,4435211,,,2.00,,$3.98
Total - $Corn (KR),,,,,,,,$64.20
$Egg (KR),,,,,,,,
,Cash Sale,3/9/2026,4432011,,,7.00,,$17.43
,Cash Sale,3/9/2026,4432007,,,52.00,,$103.48
,Cash Sale,3/9/2026,4432005,,,1.00,,$1.99
,Cash Sale,3/10/2026,4432788,,,36.00,,$71.64
,Cash Sale,3/10/2026,4432793,,,1.00,,$2.49
,Cash Sale,3/10/2026,4432790,,,3.00,,$7.47
,Cash Sale,3/10/2026,4432789,,,5.00,,$12.45
,Cash Sale,3/11/2026,4433156,,,19.00,,$47.31
,Cash Sale,3/11/2026,4433158,,,4.00,,$9.96
,Cash Sale,3/11/2026,4433157,,,30.00,,$59.70
,Cash Sale,3/12/2026,4434820,,,1.00,,$1.99
,Cash Sale,3/12/2026,4434818,,,3.00,,$7.47
,Cash Sale,3/12/2026,4434817,,,42.00,,$83.58
,Cash Sale,3/12/2026,4434821,,,7.00,,$13.93
,Cash Sale,3/12/2026,4434819,,,1.00,,$2.49
,Cash Sale,3/12/2026,4434824,,,1.00,,$2.49
,Cash Sale,3/13/2026,4433955,,,57.00,,$113.43
,Cash Sale,3/13/2026,4433958,,,1.00,,$2.49
,Cash Sale,3/13/2026,4433957,,,5.00,,$12.45
,Cash Sale,3/13/2026,4433956,,,3.00,,$7.47
,Cash Sale,3/14/2026,4434383,,,9.00,,$22.41
,Cash Sale,3/14/2026,4434384,,,1.00,,$2.49
,Cash Sale,3/14/2026,4434381,,,4.00,,$7.96
,Cash Sale,3/14/2026,4434378,,,50.00,,$99.50
,Cash Sale,3/15/2026,4435209,,,41.00,,$81.59
,Cash Sale,3/15/2026,4435210,,,12.00,,$29.88
,Cash Sale,3/15/2026,4435213,,,3.00,,$7.47
,Cash Sale,3/15/2026,4435212,,,5.00,,$12.45
,Cash Sale,3/15/2026,4435211,,,3.00,,$5.97
Total - $Egg (KR),,,,,,,,$851.43
$Extra Shirataki Noodle (KR),,,,,,,,
,Cash Sale,3/15/2026,4435212,,,2.00,,$7.98
Total - $Extra Shirataki Noodle (KR),,,,,,,,$7.98
$Fried Bean Curb (KR),,,,,,,,
,Cash Sale,3/9/2026,4432011,,,2.00,,$5.98
,Cash Sale,3/9/2026,4432007,,,1.00,,$2.99
,Cash Sale,3/10/2026,4432788,,,1.00,,$2.99
,Cash Sale,3/10/2026,4432789,,,1.00,,$2.99
,Cash Sale,3/12/2026,4434817,,,2.00,,$5.98
