Kinton Kinka Canada Holdings inc
Parent : Franchise - Restaurant/Brand Roll Up : Franchise Restaurant - Canada : Franchise Restaurant - Kinton Ramen : Franchise Restaurant - Kinton Ramen - British Columbia : Kinton Ramen Robson - KRF0018
Sales by Item Detail
"March 30, 2026 - April 5, 2026"


Item ,Type ,Date ,Document Number ,Description ,Serial Numbers ,Qty. Sold ,Sales Price ,Revenue 
Kit/Package,,,,,,,,
$1.49 Toppings (KR),,,,,,,,
,Cash Sale,4/4/2026,4443444,,,1.00,,$1.49
Total - $1.49 Toppings (KR),,,,,,,,$1.49
$Bamboo Shoots (KR),,,,,,,,
,Cash Sale,3/30/2026,4441456,,,1.00,,$1.99
,Cash Sale,4/1/2026,4442248,,,1.00,,$1.99
,Cash Sale,4/1/2026,4442249,,,1.00,,$2.49
,Cash Sale,4/2/2026,4442662,,,1.00,,$1.99
,Cash Sale,4/3/2026,4443061,,,1.00,,$1.99
,Cash Sale,4/3/2026,4443065,,,2.00,,$4.98
,Cash Sale,4/4/2026,4443444,,,1.00,,$1.99
,Cash Sale,4/5/2026,4443839,,,1.00,,$2.49
Total - $Bamboo Shoots (KR),,,,,,,,$19.91
$Beansprouts (KR),,,,,,,,
,Cash Sale,3/30/2026,4441456,,,2.00,,$3.98
,Cash Sale,4/1/2026,4442248,,,4.00,,$7.96
,Cash Sale,4/2/2026,4442662,,,2.00,,$3.98
,Cash Sale,4/3/2026,4443061,,,3.00,,$5.97
,Cash Sale,4/3/2026,4443065,,,2.00,,$4.98
,Cash Sale,4/3/2026,4443063,,,2.00,,$3.98
,Cash Sale,4/4/2026,4443444,,,2.00,,$3.98
,Cash Sale,4/4/2026,4443446,,,2.00,,$4.98
,Cash Sale,4/5/2026,4443838,,,3.00,,$5.97
Total - $Beansprouts (KR),,,,,,,,$45.78
$Beef (KR),,,,,,,,
,Cash Sale,3/30/2026,4441456,,,1.00,,$5.99
,Cash Sale,3/31/2026,4441847,,,3.00,,$17.97
,Cash Sale,3/31/2026,4441849,,,1.00,,$5.99
,Cash Sale,4/1/2026,4442250,,,1.00,,$5.99
,Cash Sale,4/2/2026,4442662,,,1.00,,$5.99
,Cash Sale,4/3/2026,4443061,,,1.00,,$5.99
,Cash Sale,4/4/2026,4443444,,,1.00,,$5.99
,Cash Sale,4/5/2026,4443838,,,1.00,,$5.99
Total - $Beef (KR),,,,,,,,$59.90
$Chicken Breast (KR),,,,,,,,
,Cash Sale,3/30/2026,4441456,,,4.00,,$15.96
,Cash Sale,3/31/2026,4441847,,,2.00,,$7.98
,Cash Sale,4/1/2026,4442248,,,3.00,,$11.97
,Cash Sale,4/2/2026,4442663,,,1.00,,$3.99
,Cash Sale,4/2/2026,4442662,,,1.00,,$3.99
,Cash Sale,4/3/2026,4443063,,,1.00,,$3.99
,Cash Sale,4/4/2026,4443444,,,2.00,,$7.98
