Kinton Kinka Canada Holdings inc
Parent : Franchise - Restaurant/Brand Roll Up : Franchise Restaurant - Canada : Franchise Restaurant - Kinton Ramen : Franchise Restaurant - Kinton Ramen - British Columbia : Kinton Ramen Robson - KRF0018
Sales by Item Detail
"April 13, 2026 - April 19, 2026"


Item ,Type ,Date ,Document Number ,Description ,Serial Numbers ,Qty. Sold ,Sales Price ,Revenue 
Kit/Package,,,,,,,,
$Bamboo Shoots (KR),,,,,,,,
,Cash Sale,4/13/2026,4447075,,,3.00,,$5.97
,Cash Sale,4/14/2026,4447470,,,1.00,,$2.49
,Cash Sale,4/14/2026,4447468,,,3.00,,$5.97
,Cash Sale,4/15/2026,4447871,,,1.00,,$2.49
,Cash Sale,4/16/2026,4448284,,,2.00,,$3.98
,Cash Sale,4/17/2026,4448698,,,1.00,,$2.49
,Cash Sale,4/17/2026,4448699,,,2.00,,$3.98
,Cash Sale,4/19/2026,4449530,,,1.00,,$2.49
Total - $Bamboo Shoots (KR),,,,,,,,$29.86
$Beansprouts (KR),,,,,,,,
,Cash Sale,4/14/2026,4447468,,,1.00,,$1.99
,Cash Sale,4/14/2026,4447472,,,1.00,,$1.99
,Cash Sale,4/15/2026,4447869,,,2.00,,$3.98
,Cash Sale,4/17/2026,4448699,,,3.00,,$5.97
,Cash Sale,4/17/2026,4448701,,,2.00,,$4.98
,Cash Sale,4/17/2026,4448700,,,1.00,,$1.99
,Cash Sale,4/18/2026,4449101,,,5.00,,$9.95
,Cash Sale,4/18/2026,4449102,,,1.00,,$2.49
,Cash Sale,4/19/2026,4449529,,,1.00,,$1.99
Total - $Beansprouts (KR),,,,,,,,$35.33
$Beef (KR),,,,,,,,
,Cash Sale,4/13/2026,4447077,,,1.00,,$5.99
,Cash Sale,4/13/2026,4447076,,,1.00,,$5.99
,Cash Sale,4/16/2026,4448284,,,2.00,,$11.98
,Cash Sale,4/16/2026,4448286,,,1.00,,$5.99
,Cash Sale,4/17/2026,4448699,,,1.00,,$5.99
,Cash Sale,4/18/2026,4449101,,,4.00,,$23.96
,Cash Sale,4/19/2026,4449532,,,1.00,,$5.99
,Cash Sale,4/19/2026,4449529,,,1.00,,$5.99
Total - $Beef (KR),,,,,,,,$71.88
$Chicken Breast (KR),,,,,,,,
,Cash Sale,4/14/2026,4447469,,,3.00,,$11.97
,Cash Sale,4/14/2026,4447473,,,5.00,,$19.95
,Cash Sale,4/15/2026,4447869,,,3.00,,$11.97
,Cash Sale,4/16/2026,4448284,,,1.00,,$3.99
,Cash Sale,4/17/2026,4448699,,,1.00,,$3.99
,Cash Sale,4/18/2026,4449101,,,1.00,,$3.99
,Cash Sale,4/18/2026,4449106,,,2.00,,$7.98
,Cash Sale,4/19/2026,4449530,,,1.00,,$3.99
Total - $Chicken Breast (KR),,,,,,,,$67.83
$Corn (KR),,,,,,,,
,Cash Sale,4/13/2026,4447075,,,1.00,,$1.99
,Cash Sale,4/13/2026,4447076,,,3.00,,$7.47
,Cash Sale,4/14/2026,4447468,,,4.00,,$7.96
,Cash Sale,4/14/2026,4447473,,,1.00,,$2.49
,Cash Sale,4/15/2026,4447871,,,1.00,,$2.49
,Cash Sale,4/15/2026,4447869,,,1.00,,$1.99
,Cash Sale,4/16/2026,4448284,,,4.00,,$7.96
,Cash Sale,4/16/2026,4448286,,,3.00,,$7.47
,Cash Sale,4/17/2026,4448699,,,2.00,,$3.98
,Cash Sale,4/17/2026,4448700,,,1.00,,$1.99
,Cash Sale,4/18/2026,4449101,,,5.00,,$9.95
,Cash Sale,4/18/2026,4449105,,,1.00,,$2.49
,Cash Sale,4/19/2026,4449530,,,1.00,,$2.49
Total - $Corn (KR),,,,,,,,$60.72
$Egg (KR),,,,,,,,
,Cash Sale,4/13/2026,4447078,,,2.00,,$4.98
,Cash Sale,4/13/2026,4447076,,,9.00,,$22.41
,Cash Sale,4/13/2026,4447077,,,2.00,,$3.98
,Cash Sale,4/13/2026,4447081,,,1.00,,$2.49
,Cash Sale,4/13/2026,4447075,,,36.00,,$71.64
,Cash Sale,4/14/2026,4447470,,,7.00,,$17.43
,Cash Sale,4/14/2026,4447471,,,3.00,,$5.97
,Cash Sale,4/14/2026,4447474,,,1.00,,$2.49
,Cash Sale,4/14/2026,4447473,,,2.00,,$4.98
,Cash Sale,4/14/2026,4447468,,,29.00,,$57.71
,Cash Sale,4/15/2026,4447871,,,1.00,,$2.49
,Cash Sale,4/15/2026,4447869,,,23.00,,$45.77
,Cash Sale,4/15/2026,4447873,,,2.00,,$3.98
,Cash Sale,4/16/2026,4448284,,,36.00,,$71.64
,Cash Sale,4/16/2026,4448286,,,6.00,,$14.94
,Cash Sale,4/16/2026,4448285,,,1.00,,$2.49
,Cash Sale,4/16/2026,4448289,,,1.00,,$2.49
,Cash Sale,4/16/2026,4448287,,,1.00,,$1.99
,Cash Sale,4/17/2026,4448699,,,41.00,,$81.59
,Cash Sale,4/17/2026,4448702,,,1.00,,$1.99
,Cash Sale,4/17/2026,4448701,,,1.00,,$2.49
,Cash Sale,4/17/2026,4448700,,,1.00,,$1.99
,Cash Sale,4/18/2026,4449101,,,39.00,,$77.61
,Cash Sale,4/18/2026,4449105,,,2.00,,$4.98
,Cash Sale,4/18/2026,4449103,,,2.00,,$4.98
,Cash Sale,4/18/2026,4449102,,,6.00,,$14.94
,Cash Sale,4/19/2026,4449531,,,3.00,,$7.47
,Cash Sale,4/19/2026,4449533,,,1.00,,$2.49
,Cash Sale,4/19/2026,4449530,,,5.00,,$12.45
,Cash Sale,4/19/2026,4449529,,,23.00,,$45.77
,Cash Sale,4/19/2026,4449532,,,3.00,,$5.97
Total - $Egg (KR),,,,,,,,$604.59
$Extra Shirataki Noodle (KR),,,,,,,,
,Cash Sale,4/19/2026,4449532,,,1.00,,$3.99
Total - $Extra Shirataki Noodle (KR),,,,,,,,$3.99
$Fried Bean Curb (KR),,,,,,,,
,Cash Sale,4/13/2026,4447075,,,1.00,,$2.99
,Cash Sale,4/14/2026,4447468,,,2.00,,$5.98
,Cash Sale,4/15/2026,4447869,,,1.00,,$2.99
,Cash Sale,4/18/2026,4449101,,,3.00,,$8.97
,Cash Sale,4/18/2026,4449102,,,2.00,,$5.98
Total - $Fried Bean Curb (KR),,,,,,,,$26.91
$Garlic Oil (KR),,,,,,,,
