Kinton Kinka Canada Holdings inc
Parent : Franchise - Restaurant/Brand Roll Up : Franchise Restaurant - Canada : Franchise Restaurant - Kinton Ramen : Franchise Restaurant - Kinton Ramen - British Columbia : Kinton Ramen Robson - KRF0018
Sales by Item Detail
"April 27, 2026 - May 3, 2026"


Item ,Type ,Date ,Document Number ,Description ,Serial Numbers ,Qty. Sold ,Sales Price ,Revenue 
Kit/Package,,,,,,,,
$Bamboo Shoots (KR),,,,,,,,
,Cash Sale,4/27/2026,4452805,,,1.00,,$1.99
,Cash Sale,4/28/2026,4453433,,,2.00,,$3.98
,Cash Sale,4/30/2026,4453896,,,1.00,,$2.49
,Cash Sale,5/1/2026,4454301,,,2.00,,$4.98
,Cash Sale,5/3/2026,4455114,,,1.00,,$1.99
Total - $Bamboo Shoots (KR),,,,,,,,$15.43
$Beansprouts (KR),,,,,,,,
,Cash Sale,4/27/2026,4452805,,,7.00,,$13.93
,Cash Sale,4/27/2026,4452806,,,1.00,,$2.49
,Cash Sale,4/29/2026,4453212,,,1.00,,$1.99
,Cash Sale,4/30/2026,4453897,,,1.00,,$2.49
,Cash Sale,4/30/2026,4453894,,,1.00,,$1.99
,Cash Sale,5/1/2026,4454299,,,6.00,,$11.94
,Cash Sale,5/3/2026,4455114,,,2.00,,$3.98
,Cash Sale,5/3/2026,4455115,,,2.00,,$4.98
Total - $Beansprouts (KR),,,,,,,,$43.79
$Beef (KR),,,,,,,,
,Cash Sale,4/27/2026,4452805,,,1.00,,$5.99
,Cash Sale,4/28/2026,4453433,,,1.00,,$5.99
,Cash Sale,4/29/2026,4453207,,,1.00,,$5.99
,Cash Sale,4/30/2026,4453897,,,1.00,,$5.99
,Cash Sale,5/1/2026,4454301,,,1.00,,$5.99
,Cash Sale,5/2/2026,4454706,,,1.00,,$5.99
,Cash Sale,5/2/2026,4454709,,,1.00,,$5.99
,Cash Sale,5/3/2026,4455114,,,1.00,,$5.99
,Cash Sale,5/3/2026,4455118,,,1.00,,$5.99
,Cash Sale,5/3/2026,4455115,,,1.00,,$5.99
Total - $Beef (KR),,,,,,,,$59.90
$Chicken Breast (KR),,,,,,,,
,Cash Sale,4/27/2026,4452808,,,1.00,,$3.99
,Cash Sale,4/28/2026,4453435,,,1.00,,$3.99
,Cash Sale,4/28/2026,4453433,,,2.00,,$7.98
,Cash Sale,4/28/2026,4453441,,,2.00,,$7.98
,Cash Sale,4/28/2026,4453439,,,1.00,,$3.99
,Cash Sale,4/29/2026,4453210,,,1.00,,$3.99
,Cash Sale,4/29/2026,4453207,,,1.00,,$3.99
,Cash Sale,5/1/2026,4454299,,,1.00,,$3.99
,Cash Sale,5/2/2026,4454704,,,1.00,,$3.99
,Cash Sale,5/2/2026,4454709,,,2.00,,$7.98
,Cash Sale,5/3/2026,4455114,,,3.00,,$11.97
Total - $Chicken Breast (KR),,,,,,,,$63.84
$Corn (KR),,,,,,,,
,Cash Sale,4/27/2026,4452805,,,4.00,,$7.96
,Cash Sale,4/28/2026,4453433,,,3.00,,$5.97
,Cash Sale,4/28/2026,4453434,,,1.00,,$2.49
,Cash Sale,4/29/2026,4453207,,,9.00,,$17.91
,Cash Sale,4/30/2026,4453896,,,1.00,,$2.49
,Cash Sale,4/30/2026,4453894,,,4.00,,$7.96
,Cash Sale,4/30/2026,4453897,,,1.00,,$2.49
,Cash Sale,5/1/2026,4454299,,,7.00,,$13.93
,Cash Sale,5/2/2026,4454704,,,7.00,,$13.93
,Cash Sale,5/2/2026,4454706,,,1.00,,$2.49
,Cash Sale,5/3/2026,4455114,,,3.00,,$5.97
,Cash Sale,5/3/2026,4455119,,,1.00,,$2.49
Total - $Corn (KR),,,,,,,,$86.08
$Egg (KR),,,,,,,,
,Cash Sale,4/27/2026,4452807,,,1.00,,$1.99
,Cash Sale,4/27/2026,4452808,,,3.00,,$7.47
,Cash Sale,4/27/2026,4452806,,,1.00,,$2.49
,Cash Sale,4/27/2026,4452812,,,2.00,,$4.98
,Cash Sale,4/27/2026,4452805,,,42.00,,$83.58
,Cash Sale,4/27/2026,4452811,,,1.00,,$2.49
,Cash Sale,4/27/2026,4452810,,,4.00,,$7.96
,Cash Sale,4/28/2026,4453435,,,2.00,,$4.98
,Cash Sale,4/28/2026,4453434,,,7.00,,$17.43
,Cash Sale,4/28/2026,4453433,,,28.00,,$55.72
,Cash Sale,4/28/2026,4453438,,,1.00,,$2.49
,Cash Sale,4/28/2026,4453441,,,2.00,,$3.98
,Cash Sale,4/28/2026,4453437,,,1.00,,$2.49
,Cash Sale,4/29/2026,4453208,,,2.00,,$3.98
,Cash Sale,4/29/2026,4453213,,,3.00,,$7.47
,Cash Sale,4/29/2026,4453207,,,21.00,,$41.79
,Cash Sale,4/29/2026,4453210,,,3.00,,$7.47
,Cash Sale,4/30/2026,4453898,,,1.00,,$2.49
,Cash Sale,4/30/2026,4453894,,,26.00,,$51.74
,Cash Sale,4/30/2026,4453895,,,1.00,,$1.99
,Cash Sale,4/30/2026,4453897,,,3.00,,$7.47
,Cash Sale,5/1/2026,4454306,,,2.00,,$4.98
,Cash Sale,5/1/2026,4454300,,,1.00,,$1.99
,Cash Sale,5/1/2026,4454301,,,7.00,,$17.43
,Cash Sale,5/1/2026,4454302,,,2.00,,$4.98
,Cash Sale,5/1/2026,4454299,,,35.00,,$69.65
,Cash Sale,5/2/2026,4454704,,,47.00,,$93.53
,Cash Sale,5/2/2026,4454709,,,2.00,,$4.98
,Cash Sale,5/2/2026,4454706,,,3.00,,$7.47
,Cash Sale,5/2/2026,4454708,,,2.00,,$3.98
,Cash Sale,5/3/2026,4455114,,,34.00,,$67.66
,Cash Sale,5/3/2026,4455118,,,1.00,,$1.99
,Cash Sale,5/3/2026,4455116,,,5.00,,$12.45
,Cash Sale,5/3/2026,4455119,,,1.00,,$2.49
,Cash Sale,5/3/2026,4455115,,,3.00,,$7.47
Total - $Egg (KR),,,,,,,,$623.50
$Extra Shirataki Noodle (KR),,,,,,,,
,Cash Sale,4/30/2026,4453894,,,1.00,,$3.99
Total - $Extra Shirataki Noodle (KR),,,,,,,,$3.99
$Fried Bean Curb (KR),,,,,,,,
,Cash Sale,4/27/2026,4452805,,,1.00,,$2.99
,Cash Sale,4/27/2026,4452806,,,1.00,,$2.99
,Cash Sale,4/28/2026,4453435,,,2.00,,$5.98
