Kinton Kinka Canada Holdings inc
Parent : Franchise - Restaurant/Brand Roll Up : Franchise Restaurant - Canada : Franchise Restaurant - Kinton Ramen : Franchise Restaurant - Kinton Ramen - British Columbia : Kinton Ramen Robson - KRF0018
Sales by Item Detail
"May 11, 2026 - May 17, 2026"


Item ,Type ,Date ,Document Number ,Description ,Serial Numbers ,Qty. Sold ,Sales Price ,Revenue 
Kit/Package,,,,,,,,
$1 Topping (KR),,,,,,,,
,Cash Sale,5/12/2026,4458973,,,2.00,,$2.00
,Cash Sale,5/14/2026,4459800,,,1.00,,$1.00
Total - $1 Topping (KR),,,,,,,,$3.00
$Bamboo Shoots (KR),,,,,,,,
,Cash Sale,5/11/2026,4458570,,,4.00,,$7.96
,Cash Sale,5/12/2026,4458973,,,5.00,,$9.95
,Cash Sale,5/12/2026,4458975,,,2.00,,$4.98
,Cash Sale,5/13/2026,4459386,,,2.00,,$3.98
,Cash Sale,5/13/2026,4459389,,,1.00,,$2.49
,Cash Sale,5/15/2026,4460257,,,1.00,,$1.99
,Cash Sale,5/16/2026,4460690,,,1.00,,$1.99
,Cash Sale,5/17/2026,4461070,,,2.00,,$3.98
Total - $Bamboo Shoots (KR),,,,,,,,$37.32
$Beansprouts (KR),,,,,,,,
,Cash Sale,5/11/2026,4458570,,,1.00,,$1.99
,Cash Sale,5/11/2026,4458573,,,1.00,,$2.49
,Cash Sale,5/12/2026,4458973,,,2.00,,$3.98
,Cash Sale,5/13/2026,4459386,,,2.00,,$3.98
,Cash Sale,5/14/2026,4459802,,,1.00,,$2.49
,Cash Sale,5/14/2026,4459800,,,3.00,,$5.97
,Cash Sale,5/15/2026,4460257,,,1.00,,$1.99
,Cash Sale,5/16/2026,4460687,,,1.00,,$1.99
,Cash Sale,5/17/2026,4461070,,,3.00,,$5.97
,Cash Sale,5/17/2026,4461074,,,1.00,,$2.49
Total - $Beansprouts (KR),,,,,,,,$33.34
$Beef (KR),,,,,,,,
,Cash Sale,5/12/2026,4458973,,,2.00,,$11.98
,Cash Sale,5/13/2026,4459386,,,3.00,,$17.97
,Cash Sale,5/14/2026,4459800,,,1.00,,$5.99
,Cash Sale,5/15/2026,4460261,,,1.00,,$5.99
,Cash Sale,5/15/2026,4460257,,,3.00,,$17.97
,Cash Sale,5/17/2026,4461070,,,1.00,,$5.99
,Cash Sale,5/17/2026,4461071,,,5.00,,$29.95
Total - $Beef (KR),,,,,,,,$95.84
$Chicken Breast (KR),,,,,,,,
,Cash Sale,5/11/2026,4458570,,,1.00,,$3.99
,Cash Sale,5/11/2026,4458573,,,2.00,,$7.98
,Cash Sale,5/12/2026,4458973,,,2.00,,$7.98
,Cash Sale,5/14/2026,4459802,,,2.00,,$7.98
,Cash Sale,5/14/2026,4459807,,,2.00,,$7.98
,Cash Sale,5/14/2026,4459800,,,1.00,,$3.99
,Cash Sale,5/15/2026,4460261,,,2.00,,$7.98
,Cash Sale,5/15/2026,4460257,,,1.00,,$3.99
,Cash Sale,5/16/2026,4460687,,,2.00,,$7.98
,Cash Sale,5/16/2026,4460688,,,1.00,,$3.99
,Cash Sale,5/17/2026,4461070,,,2.00,,$7.98
Total - $Chicken Breast (KR),,,,,,,,$71.82
$Corn (KR),,,,,,,,
,Cash Sale,5/11/2026,4458570,,,3.00,,$5.97
,Cash Sale,5/12/2026,4458973,,,6.00,,$11.94
,Cash Sale,5/13/2026,4459386,,,2.00,,$3.98
,Cash Sale,5/13/2026,4459389,,,2.00,,$4.98
,Cash Sale,5/14/2026,4459802,,,1.00,,$2.49
,Cash Sale,5/14/2026,4459806,,,1.00,,$1.99
,Cash Sale,5/14/2026,4459800,,,2.00,,$3.98
,Cash Sale,5/15/2026,4460264,,,1.00,,$2.49
,Cash Sale,5/15/2026,4460257,,,6.00,,$11.94
,Cash Sale,5/16/2026,4460689,,,1.00,,$2.49
,Cash Sale,5/16/2026,4460688,,,1.00,,$2.49
,Cash Sale,5/16/2026,4460687,,,3.00,,$5.97
,Cash Sale,5/17/2026,4461070,,,17.00,,$33.83
,Cash Sale,5/17/2026,4461073,,,2.00,,$3.98
Total - $Corn (KR),,,,,,,,$98.52
$Egg (KR),,,,,,,,
,Cash Sale,5/11/2026,4458570,,,22.00,,$43.78
,Cash Sale,5/11/2026,4458577,,,1.00,,$2.49
,Cash Sale,5/11/2026,4458575,,,2.00,,$4.98
,Cash Sale,5/11/2026,4458573,,,5.00,,$12.45
,Cash Sale,5/11/2026,4458571,,,3.00,,$7.47
,Cash Sale,5/12/2026,4458973,,,20.00,,$39.80
,Cash Sale,5/12/2026,4458978,,,3.00,,$5.97
,Cash Sale,5/12/2026,4458976,,,1.00,,$1.99
,Cash Sale,5/12/2026,4458975,,,2.00,,$4.98
,Cash Sale,5/13/2026,4459386,,,44.00,,$87.56
,Cash Sale,5/13/2026,4459389,,,8.00,,$19.92
,Cash Sale,5/13/2026,4459390,,,2.00,,$3.98
,Cash Sale,5/13/2026,4459387,,,1.00,,$2.49
,Cash Sale,5/13/2026,4459391,,,2.00,,$4.98
,Cash Sale,5/14/2026,4459802,,,7.00,,$17.43
,Cash Sale,5/14/2026,4459807,,,4.00,,$9.96
,Cash Sale,5/14/2026,4459801,,,1.00,,$1.99
,Cash Sale,5/14/2026,4459800,,,30.00,,$59.70
,Cash Sale,5/14/2026,4459803,,,4.00,,$9.96
,Cash Sale,5/15/2026,4460258,,,4.00,,$9.96
,Cash Sale,5/15/2026,4460257,,,20.00,,$39.80
,Cash Sale,5/15/2026,4460262,,,1.00,,$1.99
,Cash Sale,5/15/2026,4460261,,,6.00,,$14.94
,Cash Sale,5/15/2026,4460264,,,1.00,,$2.49
,Cash Sale,5/16/2026,4460689,,,5.00,,$12.45
,Cash Sale,5/16/2026,4460690,,,4.00,,$7.96
,Cash Sale,5/16/2026,4460688,,,2.00,,$4.98
,Cash Sale,5/16/2026,4460687,,,44.00,,$87.56
,Cash Sale,5/17/2026,4461070,,,49.00,,$97.51
,Cash Sale,5/17/2026,4461073,,,4.00,,$7.96
,Cash Sale,5/17/2026,4461074,,,9.00,,$22.41
,Cash Sale,5/17/2026,4461071,,,2.00,,$4.98
Total - $Egg (KR),,,,,,,,$656.87
$Extra Shirataki Noodle (KR),,,,,,,,
,Cash Sale,5/16/2026,4460688,,,1.00,,$3.99
Total - $Extra Shirataki Noodle (KR),,,,,,,,$3.99
$Fried Bean Curb (KR),,,,,,,,
,Cash Sale,5/11/2026,4458570,,,2.00,,$5.98
,Cash Sale,5/11/2026,4458573,,,1.00,,$2.99
,Cash Sale,5/12/2026,4458973,,,2.00,,$5.98
,Cash Sale,5/12/2026,4458976,,,1.00,,$2.99
,Cash Sale,5/13/2026,4459386,,,1.00,,$2.99
,Cash Sale,5/13/2026,4459389,,,1.00,,$2.99
,Cash Sale,5/14/2026,4459800,,,1.00,,$2.99
,Cash Sale,5/16/2026,4460687,,,3.00,,$8.97
,Cash Sale,5/17/2026,4461070,,,1.00,,$2.99
,Cash Sale,5/17/2026,4461073,,,1.00,,$2.99
,Cash Sale,5/17/2026,4461071,,,1.00,,$2.99
Total - $Fried Bean Curb (KR),,,,,,,,$44.85
$Garlic Oil (KR),,,,,,,,
,Cash Sale,5/12/2026,4458973,,,2.00,,$3.98
,Cash Sale,5/13/2026,4459389,,,3.00,,$7.47
,Cash Sale,5/14/2026,4459800,,,1.00,,$1.99
,Cash Sale,5/15/2026,4460261,,,1.00,,$2.49
,Cash Sale,5/15/2026,4460257,,,2.00,,$3.98
Total - $Garlic Oil (KR),,,,,,,,$19.91
$Grated Garlic (KR),,,,,,,,
,Cash Sale,5/11/2026,4458570,,,1.00,,$1.99
,Cash Sale,5/11/2026,4458573,,,3.00,,$7.47
,Cash Sale,5/13/2026,4459386,,,1.00,,$1.99
,Cash Sale,5/13/2026,4459388,,,1.00,,$2.49
,Cash Sale,5/15/2026,4460258,,,1.00,,$2.49
,Cash Sale,5/15/2026,4460261,,,2.00,,$4.98
,Cash Sale,5/15/2026,4460265,,,1.00,,$2.49
,Cash Sale,5/17/2026,4461070,,,1.00,,$1.99
,Cash Sale,5/17/2026,4461073,,,1.00,,$1.99
,Cash Sale,5/17/2026,4461074,,,2.00,,$4.98
Total - $Grated Garlic (KR),,,,,,,,$32.86
$Half Noodle - Thick (KR),,,,,,,,
,Cash Sale,5/11/2026,4458575,,,1.00,,$2.99
,Cash Sale,5/12/2026,4458973,,,3.00,,$5.97
,Cash Sale,5/13/2026,4459386,,,1.00,,$1.99
,Cash Sale,5/13/2026,4459390,,,1.00,,$1.99
,Cash Sale,5/14/2026,4459800,,,3.00,,$5.97
,Cash Sale,5/15/2026,4460260,,,2.00,,$5.98
,Cash Sale,5/15/2026,4460257,,,1.00,,$1.99
,Cash Sale,5/16/2026,4460687,,,7.00,,$13.93
,Cash Sale,5/16/2026,4460691,,,1.00,,$2.99
,Cash Sale,5/17/2026,4461070,,,6.00,,$11.94
,Cash Sale,5/17/2026,4461073,,,1.00,,$1.99
,Cash Sale,5/17/2026,4461074,,,2.00,,$5.98
,Cash Sale,5/17/2026,4461071,,,2.00,,$5.98
Total - $Half Noodle - Thick (KR),,,,,,,,$69.69
$Half Noodle - Thin (KR),,,,,,,,
,Cash Sale,5/11/2026,4458570,,,5.00,,$9.95
,Cash Sale,5/11/2026,4458572,,,1.00,,$1.99
,Cash Sale,5/12/2026,4458973,,,5.00,,$9.95
,Cash Sale,5/12/2026,4458977,,,1.00,,$2.99
,Cash Sale,5/13/2026,4459386,,,1.00,,$1.99
,Cash Sale,5/14/2026,4459800,,,2.00,,$3.98
,Cash Sale,5/15/2026,4460257,,,4.00,,$7.96
,Cash Sale,5/16/2026,4460687,,,7.00,,$13.93
,Cash Sale,5/16/2026,4460690,,,1.00,,$1.99
,Cash Sale,5/17/2026,4461070,,,3.00,,$5.97
Total - $Half Noodle - Thin (KR),,,,,,,,$60.70
$Jalapeno Paste (KR),,,,,,,,
,Cash Sale,5/12/2026,4458973,,,1.00,,$1.99
,Cash Sale,5/13/2026,4459389,,,1.00,,$2.49
,Cash Sale,5/17/2026,4461070,,,1.00,,$1.99
Total - $Jalapeno Paste (KR),,,,,,,,$6.47
$Nori (KR),,,,,,,,
,Cash Sale,5/11/2026,4458570,,,3.00,,$4.47
,Cash Sale,5/12/2026,4458973,,,3.00,,$4.47
,Cash Sale,5/13/2026,4459386,,,2.00,,$2.98
,Cash Sale,5/14/2026,4459800,,,3.00,,$4.47
,Cash Sale,5/14/2026,4459805,,,1.00,,$1.99
,Cash Sale,5/16/2026,4460687,,,2.00,,$2.98
,Cash Sale,5/17/2026,4461070,,,5.00,,$7.45
Total - $Nori (KR),,,,,,,,$28.81
$Pork (KR),,,,,,,,
,Cash Sale,5/11/2026,4458570,,,2.00,,$7.98
,Cash Sale,5/11/2026,4458573,,,3.00,,$11.97
