Kinton Kinka Canada Holdings inc
Parent : Franchise - Restaurant/Brand Roll Up : Franchise Restaurant - Canada : Franchise Restaurant - Kinton Ramen : Franchise Restaurant - Kinton Ramen - British Columbia : Kinton Ramen Robson - KRF0018
Sales by Item Detail
"June 22, 2026 - June 28, 2026"


Item ,Type ,Date ,Document Number ,Description ,Serial Numbers ,Qty. Sold ,Sales Price ,Revenue 
Kit/Package,,,,,,,,
$Bamboo Shoots (KR),,,,,,,,
,Cash Sale,6/22/2026,4476067,,,1.00,,$1.99
,Cash Sale,6/23/2026,4476478,,,2.00,,$3.98
,Cash Sale,6/24/2026,4476884,,,1.00,,$1.99
,Cash Sale,6/24/2026,4476883,,,1.00,,$1.99
,Cash Sale,6/25/2026,4477294,,,2.00,,$3.98
,Cash Sale,6/28/2026,4478547,,,1.00,,$1.99
Total - $Bamboo Shoots (KR),,,,,,,,$15.92
$Beansprouts (KR),,,,,,,,
,Cash Sale,6/22/2026,4476067,,,2.00,,$3.98
,Cash Sale,6/23/2026,4476478,,,1.00,,$1.99
,Cash Sale,6/25/2026,4477294,,,2.00,,$3.98
,Cash Sale,6/26/2026,4477735,,,1.00,,$2.49
,Cash Sale,6/26/2026,4477736,,,1.00,,$1.99
,Cash Sale,6/27/2026,4478150,,,2.00,,$3.98
,Cash Sale,6/28/2026,4478546,,,1.00,,$2.49
,Cash Sale,6/28/2026,4478548,,,1.00,,$2.49
Total - $Beansprouts (KR),,,,,,,,$23.39
$Beef (KR),,,,,,,,
,Cash Sale,6/22/2026,4476067,,,1.00,,$5.99
,Cash Sale,6/23/2026,4476478,,,1.00,,$5.99
,Cash Sale,6/24/2026,4476884,,,1.00,,$5.99
,Cash Sale,6/25/2026,4477294,,,1.00,,$5.99
,Cash Sale,6/26/2026,4477736,,,3.00,,$17.97
,Cash Sale,6/27/2026,4478150,,,1.00,,$5.99
,Cash Sale,6/28/2026,4478547,,,1.00,,$5.99
,Cash Sale,6/28/2026,4478548,,,2.00,,$11.98
Total - $Beef (KR),,,,,,,,$65.89
$Chicken Breast (KR),,,,,,,,
,Cash Sale,6/22/2026,4476067,,,1.00,,$3.99
,Cash Sale,6/22/2026,4476070,,,1.00,,$3.99
,Cash Sale,6/23/2026,4476478,,,3.00,,$11.97
,Cash Sale,6/23/2026,4476484,,,2.00,,$7.98
,Cash Sale,6/24/2026,4476884,,,1.00,,$3.99
,Cash Sale,6/25/2026,4477294,,,2.00,,$7.98
,Cash Sale,6/26/2026,4477735,,,2.00,,$7.98
,Cash Sale,6/26/2026,4477736,,,2.00,,$7.98
,Cash Sale,6/27/2026,4478151,,,1.00,,$3.99
,Cash Sale,6/28/2026,4478547,,,2.00,,$7.98
,Cash Sale,6/28/2026,4478548,,,1.00,,$3.99
Total - $Chicken Breast (KR),,,,,,,,$71.82
$Corn (KR),,,,,,,,
,Cash Sale,6/22/2026,4476067,,,1.00,,$1.99
,Cash Sale,6/22/2026,4476069,,,1.00,,$2.49
,Cash Sale,6/23/2026,4476478,,,3.00,,$5.97
,Cash Sale,6/24/2026,4476884,,,2.00,,$3.98
,Cash Sale,6/25/2026,4477294,,,4.00,,$7.96
,Cash Sale,6/26/2026,4477736,,,7.00,,$13.93
,Cash Sale,6/26/2026,4477742,,,1.00,,$2.49
,Cash Sale,6/27/2026,4478150,,,4.00,,$7.96
,Cash Sale,6/28/2026,4478547,,,6.00,,$11.94
,Cash Sale,6/28/2026,4478548,,,2.00,,$4.98
Total - $Corn (KR),,,,,,,,$63.69
$Egg (KR),,,,,,,,
,Cash Sale,6/22/2026,4476067,,,49.00,,$97.51
,Cash Sale,6/22/2026,4476068,,,3.00,,$7.47
,Cash Sale,6/22/2026,4476072,,,2.00,,$4.98
,Cash Sale,6/22/2026,4476071,,,1.00,,$1.99
,Cash Sale,6/22/2026,4476070,,,1.00,,$2.49
,Cash Sale,6/22/2026,4476069,,,7.00,,$17.43
,Cash Sale,6/23/2026,4476478,,,23.00,,$45.77
,Cash Sale,6/23/2026,4476485,,,2.00,,$4.98
,Cash Sale,6/23/2026,4476480,,,3.00,,$5.97
,Cash Sale,6/23/2026,4476481,,,2.00,,$4.98
,Cash Sale,6/23/2026,4476484,,,2.00,,$4.98
,Cash Sale,6/23/2026,4476479,,,8.00,,$19.92
,Cash Sale,6/24/2026,4476884,,,34.00,,$67.66
,Cash Sale,6/24/2026,4476889,,,1.00,,$1.99
,Cash Sale,6/24/2026,4476886,,,5.00,,$12.45
,Cash Sale,6/24/2026,4476885,,,11.00,,$27.39
,Cash Sale,6/25/2026,4477295,,,1.00,,$1.99
,Cash Sale,6/25/2026,4477294,,,38.00,,$75.62
,Cash Sale,6/25/2026,4477300,,,1.00,,$2.49
,Cash Sale,6/25/2026,4477299,,,1.00,,$2.49
,Cash Sale,6/25/2026,4477298,,,3.00,,$7.47
,Cash Sale,6/25/2026,4477297,,,1.00,,$1.99
,Cash Sale,6/26/2026,4477737,,,3.00,,$7.47
,Cash Sale,6/26/2026,4477739,,,4.00,,$7.96
,Cash Sale,6/26/2026,4477736,,,77.00,,$153.23
,Cash Sale,6/26/2026,4477740,,,7.00,,$17.43
,Cash Sale,6/26/2026,4477735,,,12.00,,$29.88
,Cash Sale,6/27/2026,4478150,,,40.00,,$79.60
,Cash Sale,6/27/2026,4478154,,,1.00,,$2.49
,Cash Sale,6/27/2026,4478153,,,1.00,,$2.49
,Cash Sale,6/27/2026,4478151,,,6.00,,$14.94
,Cash Sale,6/28/2026,4478546,,,5.00,,$12.45
,Cash Sale,6/28/2026,4478548,,,23.00,,$57.27
,Cash Sale,6/28/2026,4478547,,,36.00,,$71.64
,Cash Sale,6/28/2026,4478551,,,2.00,,$4.98
,Cash Sale,6/28/2026,4478549,,,2.00,,$3.98
Total - $Egg (KR),,,,,,,,$885.82
$Extra Shirataki Noodle (KR),,,,,,,,
,Cash Sale,6/26/2026,4477735,,,2.00,,$11.98
Total - $Extra Shirataki Noodle (KR),,,,,,,,$11.98
$Fried Bean Curb (KR),,,,,,,,
,Cash Sale,6/23/2026,4476478,,,2.00,,$5.98
,Cash Sale,6/24/2026,4476884,,,3.00,,$8.97
,Cash Sale,6/25/2026,4477300,,,1.00,,$2.99
,Cash Sale,6/25/2026,4477294,,,3.00,,$8.97
,Cash Sale,6/26/2026,4477735,,,1.00,,$2.99
