Kinton Kinka Canada Holdings inc
Parent : Franchise - Restaurant/Brand Roll Up : Franchise Restaurant - Canada : Franchise Restaurant - Kinton Ramen : Franchise Restaurant - Kinton Ramen - British Columbia : Kinton Ramen Robson - KRF0018
Sales by Item Detail
"June 29, 2026 - July 5, 2026"


Item ,Type ,Date ,Document Number ,Description ,Serial Numbers ,Qty. Sold ,Sales Price ,Revenue 
Kit/Package,,,,,,,,
$1 Topping (KR),,,,,,,,
,Cash Sale,7/4/2026,4480975,,,1.00,,$1.00
Total - $1 Topping (KR),,,,,,,,$1.00
$Bamboo Shoots (KR),,,,,,,,
,Cash Sale,6/29/2026,4478952,,,4.00,,$7.96
,Cash Sale,6/29/2026,4478953,,,1.00,,$2.49
,Cash Sale,7/1/2026,4479758,,,8.00,,$15.92
,Cash Sale,7/1/2026,4479762,,,2.00,,$4.98
,Cash Sale,7/1/2026,4479760,,,1.00,,$2.49
,Cash Sale,7/2/2026,4480145,,,1.00,,$1.99
,Cash Sale,7/3/2026,4480551,,,1.00,,$1.99
,Cash Sale,7/3/2026,4480552,,,1.00,,$2.49
,Cash Sale,7/4/2026,4480975,,,2.00,,$3.98
,Cash Sale,7/4/2026,4480976,,,1.00,,$2.49
,Cash Sale,7/5/2026,4481375,,,2.00,,$3.98
Total - $Bamboo Shoots (KR),,,,,,,,$50.76
$Beansprouts (KR),,,,,,,,
,Cash Sale,6/29/2026,4478952,,,1.00,,$1.99
,Cash Sale,7/1/2026,4479758,,,4.00,,$7.96
,Cash Sale,7/1/2026,4479762,,,1.00,,$2.49
,Cash Sale,7/1/2026,4479760,,,1.00,,$2.49
,Cash Sale,7/2/2026,4480145,,,2.00,,$3.98
,Cash Sale,7/3/2026,4480551,,,3.00,,$5.97
,Cash Sale,7/3/2026,4480553,,,1.00,,$2.49
,Cash Sale,7/4/2026,4480975,,,2.00,,$3.98
,Cash Sale,7/4/2026,4480976,,,1.00,,$2.49
,Cash Sale,7/5/2026,4481375,,,2.00,,$3.98
Total - $Beansprouts (KR),,,,,,,,$37.82
$Beef (KR),,,,,,,,
,Cash Sale,6/29/2026,4478952,,,3.00,,$17.97
,Cash Sale,7/1/2026,4479757,,,1.00,,$5.99
,Cash Sale,7/1/2026,4479758,,,3.00,,$17.97
,Cash Sale,7/2/2026,4480145,,,3.00,,$17.97
,Cash Sale,7/3/2026,4480552,,,1.00,,$5.99
,Cash Sale,7/5/2026,4481375,,,1.00,,$5.99
Total - $Beef (KR),,,,,,,,$71.88
$Chicken Breast (KR),,,,,,,,
,Cash Sale,6/29/2026,4478952,,,1.00,,$3.99
,Cash Sale,6/29/2026,4478954,,,2.00,,$7.98
,Cash Sale,6/30/2026,4479366,,,2.00,,$7.98
,Cash Sale,7/1/2026,4479757,,,1.00,,$3.99
,Cash Sale,7/1/2026,4479758,,,4.00,,$15.96
,Cash Sale,7/2/2026,4480145,,,3.00,,$11.97
,Cash Sale,7/2/2026,4480148,,,2.00,,$7.98
,Cash Sale,7/2/2026,4480147,,,1.00,,$3.99
,Cash Sale,7/3/2026,4480551,,,2.00,,$7.98
,Cash Sale,7/3/2026,4480553,,,2.00,,$7.98
,Cash Sale,7/4/2026,4480978,,,1.00,,$3.99
,Cash Sale,7/5/2026,4481377,,,1.00,,$3.99
Total - $Chicken Breast (KR),,,,,,,,$87.78
$Corn (KR),,,,,,,,
,Cash Sale,6/29/2026,4478952,,,2.00,,$3.98
,Cash Sale,6/29/2026,4478954,,,2.00,,$4.98
,Cash Sale,6/30/2026,4479366,,,1.00,,$1.99
,Cash Sale,7/1/2026,4479757,,,1.00,,$2.49
,Cash Sale,7/1/2026,4479762,,,2.00,,$4.98
,Cash Sale,7/1/2026,4479758,,,4.00,,$7.96
,Cash Sale,7/2/2026,4480145,,,7.00,,$13.93
,Cash Sale,7/2/2026,4480150,,,3.00,,$5.97
,Cash Sale,7/2/2026,4480146,,,2.00,,$4.98
,Cash Sale,7/3/2026,4480551,,,4.00,,$7.96
,Cash Sale,7/3/2026,4480558,,,1.00,,$1.99
,Cash Sale,7/3/2026,4480553,,,2.00,,$4.98
,Cash Sale,7/3/2026,4480552,,,2.00,,$4.98
,Cash Sale,7/4/2026,4480980,,,1.00,,$2.49
,Cash Sale,7/4/2026,4480975,,,4.00,,$7.96
,Cash Sale,7/5/2026,4481375,,,1.00,,$1.99
,Cash Sale,7/5/2026,4481377,,,1.00,,$2.49
Total - $Corn (KR),,,,,,,,$86.10
$Egg (KR),,,,,,,,
,Cash Sale,6/29/2026,4478952,,,42.00,,$83.58
,Cash Sale,6/29/2026,4478956,,,3.00,,$5.97
,Cash Sale,6/29/2026,4478954,,,7.00,,$17.43
,Cash Sale,6/29/2026,4478957,,,1.00,,$1.99
,Cash Sale,6/29/2026,4478953,,,3.00,,$7.47
,Cash Sale,6/30/2026,4479365,,,2.00,,$4.98
,Cash Sale,6/30/2026,4479373,,,1.00,,$2.49
,Cash Sale,6/30/2026,4479369,,,1.00,,$1.99
,Cash Sale,6/30/2026,4479368,,,1.00,,$1.99
,Cash Sale,6/30/2026,4479367,,,1.00,,$2.49
,Cash Sale,6/30/2026,4479366,,,40.00,,$79.60
,Cash Sale,7/1/2026,4479757,,,4.00,,$9.96
,Cash Sale,7/1/2026,4479761,,,1.00,,$1.99
,Cash Sale,7/1/2026,4479760,,,8.00,,$19.92
,Cash Sale,7/1/2026,4479758,,,45.00,,$89.55
,Cash Sale,7/1/2026,4479763,,,1.00,,$1.99
,Cash Sale,7/1/2026,4479759,,,2.00,,$4.98
,Cash Sale,7/2/2026,4480145,,,71.00,,$141.29
,Cash Sale,7/2/2026,4480148,,,1.00,,$2.49
,Cash Sale,7/2/2026,4480149,,,1.00,,$2.49
,Cash Sale,7/2/2026,4480150,,,12.00,,$23.88
,Cash Sale,7/2/2026,4480147,,,8.00,,$19.92
,Cash Sale,7/2/2026,4480146,,,9.00,,$22.41
,Cash Sale,7/3/2026,4480551,,,41.00,,$81.59
,Cash Sale,7/3/2026,4480558,,,3.00,,$5.97
,Cash Sale,7/3/2026,4480555,,,5.00,,$9.95
,Cash Sale,7/3/2026,4480554,,,1.00,,$2.49
,Cash Sale,7/3/2026,4480553,,,3.00,,$7.47
,Cash Sale,7/3/2026,4480552,,,5.00,,$12.45
,Cash Sale,7/4/2026,4480983,,,2.00,,$4.98
,Cash Sale,7/4/2026,4480982,,,1.00,,$2.49
,Cash Sale,7/4/2026,4480978,,,4.00,,$9.96
,Cash Sale,7/4/2026,4480977,,,1.00,,$1.99
,Cash Sale,7/4/2026,4480976,,,4.00,,$9.96
,Cash Sale,7/4/2026,4480975,,,47.00,,$93.53
,Cash Sale,7/4/2026,4480980,,,1.00,,$2.49
,Cash Sale,7/5/2026,4481381,,,1.00,,$2.49
,Cash Sale,7/5/2026,4481378,,,6.00,,$11.94
,Cash Sale,7/5/2026,4481377,,,8.00,,$19.92
,Cash Sale,7/5/2026,4481376,,,1.00,,$2.49
,Cash Sale,7/5/2026,4481375,,,41.00,,$81.59
Total - $Egg (KR),,,,,,,,$914.60
$Fried Bean Curb (KR),,,,,,,,
,Cash Sale,6/29/2026,4478952,,,2.00,,$5.98
,Cash Sale,6/30/2026,4479365,,,1.00,,$2.99
,Cash Sale,6/30/2026,4479368,,,1.00,,$2.99
,Cash Sale,7/1/2026,4479757,,,1.00,,$2.99
,Cash Sale,7/1/2026,4479758,,,5.00,,$14.95
,Cash Sale,7/2/2026,4480145,,,2.00,,$5.98
,Cash Sale,7/2/2026,4480150,,,1.00,,$2.99
,Cash Sale,7/3/2026,4480551,,,1.00,,$2.99
,Cash Sale,7/3/2026,4480553,,,2.00,,$5.98
,Cash Sale,7/4/2026,4480975,,,1.00,,$2.99
,Cash Sale,7/4/2026,4480978,,,1.00,,$2.99
,Cash Sale,7/4/2026,4480976,,,1.00,,$2.99
,Cash Sale,7/5/2026,4481377,,,2.00,,$5.98
,Cash Sale,7/5/2026,4481378,,,1.00,,$2.99
Total - $Fried Bean Curb (KR),,,,,,,,$65.78
$Garlic Oil (KR),,,,,,,,
,Cash Sale,6/29/2026,4478957,,,1.00,,$1.99
,Cash Sale,6/29/2026,4478954,,,1.00,,$2.49
,Cash Sale,6/30/2026,4479366,,,1.00,,$1.99
,Cash Sale,7/1/2026,4479758,,,1.00,,$1.99
Total - $Garlic Oil (KR),,,,,,,,$8.46
$Grated Garlic (KR),,,,,,,,
,Cash Sale,6/30/2026,4479366,,,1.00,,$1.99
,Cash Sale,7/1/2026,4479757,,,1.00,,$2.49
,Cash Sale,7/1/2026,4479760,,,1.00,,$2.49
,Cash Sale,7/1/2026,4479758,,,1.00,,$1.99
,Cash Sale,7/2/2026,4480145,,,2.00,,$3.98
,Cash Sale,7/2/2026,4480146,,,2.00,,$4.98
,Cash Sale,7/3/2026,4480552,,,1.00,,$2.49
,Cash Sale,7/4/2026,4480978,,,1.00,,$2.49
Total - $Grated Garlic (KR),,,,,,,,$22.90
$Half Noodle - Thick (KR),,,,,,,,
,Cash Sale,6/29/2026,4478952,,,3.00,,$5.97
,Cash Sale,6/29/2026,4478954,,,2.00,,$5.98
,Cash Sale,6/29/2026,4478953,,,1.00,,$2.99
,Cash Sale,6/30/2026,4479366,,,1.00,,$1.99
,Cash Sale,6/30/2026,4479368,,,2.00,,$3.98
,Cash Sale,6/30/2026,4479367,,,1.00,,$2.99
,Cash Sale,7/1/2026,4479757,,,1.00,,$2.99
,Cash Sale,7/1/2026,4479760,,,1.00,,$2.99
,Cash Sale,7/1/2026,4479758,,,7.00,,$13.93
,Cash Sale,7/2/2026,4480145,,,6.00,,$11.94
,Cash Sale,7/2/2026,4480149,,,1.00,,$2.99
,Cash Sale,7/3/2026,4480551,,,4.00,,$7.96
,Cash Sale,7/3/2026,4480555,,,1.00,,$1.99
,Cash Sale,7/3/2026,4480553,,,2.00,,$5.98
,Cash Sale,7/4/2026,4480975,,,1.00,,$1.99
,Cash Sale,7/4/2026,4480978,,,2.00,,$5.98
,Cash Sale,7/4/2026,4480976,,,1.00,,$2.99
,Cash Sale,7/5/2026,4481375,,,1.00,,$1.99
,Cash Sale,7/5/2026,4481377,,,1.00,,$2.99
Total - $Half Noodle - Thick (KR),,,,,,,,$90.61
$Half Noodle - Thin (KR),,,,,,,,
,Cash Sale,6/29/2026,4478952,,,8.00,,$15.92
,Cash Sale,6/30/2026,4479366,,,2.00,,$3.98
,Cash Sale,7/1/2026,4479757,,,1.00,,$2.99
,Cash Sale,7/1/2026,4479760,,,1.00,,$2.99
,Cash Sale,7/1/2026,4479758,,,2.00,,$3.98
,Cash Sale,7/2/2026,4480145,,,2.00,,$3.98
,Cash Sale,7/3/2026,4480551,,,4.00,,$7.96
,Cash Sale,7/3/2026,4480553,,,1.00,,$2.99
,Cash Sale,7/4/2026,4480980,,,3.00,,$8.97
,Cash Sale,7/4/2026,4480975,,,9.00,,$17.91
