Kinton Kinka Canada Holdings inc
Parent : Franchise - Restaurant/Brand Roll Up : Franchise Restaurant - Canada : Franchise Restaurant - Kinton Ramen : Franchise Restaurant - Kinton Ramen - British Columbia : Kinton Ramen Robson - KRF0018
Sales by Item Detail
"July 6, 2026 - July 12, 2026"


Item ,Type ,Date ,Document Number ,Description ,Serial Numbers ,Qty. Sold ,Sales Price ,Revenue 
Kit/Package,,,,,,,,
$Bamboo Shoots (KR),,,,,,,,
,Cash Sale,7/6/2026,4481791,,,3.00,,$5.97
,Cash Sale,7/6/2026,4481793,,,1.00,,$2.49
,Cash Sale,7/9/2026,4483032,,,1.00,,$1.99
,Cash Sale,7/9/2026,4483033,,,2.00,,$4.98
,Cash Sale,7/11/2026,4483881,,,2.00,,$3.98
,Cash Sale,7/12/2026,4484297,,,3.00,,$5.97
Total - $Bamboo Shoots (KR),,,,,,,,$25.38
$Beansprouts (KR),,,,,,,,
,Cash Sale,7/6/2026,4481791,,,3.00,,$5.97
,Cash Sale,7/6/2026,4481793,,,2.00,,$4.98
,Cash Sale,7/7/2026,4482202,,,2.00,,$3.98
,Cash Sale,7/8/2026,4482603,,,1.00,,$1.99
,Cash Sale,7/8/2026,4482601,,,1.00,,$1.99
,Cash Sale,7/9/2026,4483032,,,5.00,,$9.95
,Cash Sale,7/10/2026,4483472,,,1.00,,$2.49
,Cash Sale,7/10/2026,4483466,,,1.00,,$2.49
,Cash Sale,7/10/2026,4483467,,,5.00,,$9.95
,Cash Sale,7/11/2026,4483882,,,1.00,,$2.49
,Cash Sale,7/11/2026,4483881,,,2.00,,$3.98
Total - $Beansprouts (KR),,,,,,,,$50.26
$Beef (KR),,,,,,,,
,Cash Sale,7/6/2026,4481791,,,2.00,,$11.98
,Cash Sale,7/7/2026,4482202,,,3.00,,$17.97
,Cash Sale,7/8/2026,4482605,,,1.00,,$5.99
,Cash Sale,7/8/2026,4482601,,,1.00,,$5.99
,Cash Sale,7/9/2026,4483032,,,3.00,,$17.97
,Cash Sale,7/10/2026,4483467,,,3.00,,$17.97
,Cash Sale,7/12/2026,4484297,,,1.00,,$5.99
Total - $Beef (KR),,,,,,,,$83.86
$Chicken Breast (KR),,,,,,,,
,Cash Sale,7/6/2026,4481791,,,1.00,,$3.99
,Cash Sale,7/7/2026,4482208,,,1.00,,$3.99
,Cash Sale,7/7/2026,4482202,,,2.00,,$7.98
,Cash Sale,7/8/2026,4482601,,,2.00,,$7.98
,Cash Sale,7/9/2026,4483032,,,7.00,,$27.93
,Cash Sale,7/10/2026,4483467,,,1.00,,$3.99
,Cash Sale,7/10/2026,4483470,,,1.00,,$3.99
,Cash Sale,7/10/2026,4483466,,,1.00,,$3.99
,Cash Sale,7/11/2026,4483881,,,1.00,,$3.99
,Cash Sale,7/12/2026,4484297,,,1.00,,$3.99
,Cash Sale,7/12/2026,4484300,,,1.00,,$3.99
,Cash Sale,7/12/2026,4484299,,,1.00,,$3.99
Total - $Chicken Breast (KR),,,,,,,,$79.80
$Corn (KR),,,,,,,,
,Cash Sale,7/6/2026,4481791,,,3.00,,$5.97
,Cash Sale,7/6/2026,4481793,,,2.00,,$4.98
,Cash Sale,7/6/2026,4481796,,,1.00,,$1.99
,Cash Sale,7/7/2026,4482206,,,2.00,,$4.98
,Cash Sale,7/7/2026,4482203,,,1.00,,$1.99
,Cash Sale,7/7/2026,4482202,,,5.00,,$9.95
,Cash Sale,7/7/2026,4482208,,,1.00,,$2.49
,Cash Sale,7/8/2026,4482603,,,2.00,,$3.98
,Cash Sale,7/8/2026,4482601,,,6.00,,$11.94
,Cash Sale,7/8/2026,4482605,,,1.00,,$2.49
,Cash Sale,7/9/2026,4483032,,,6.00,,$11.94
,Cash Sale,7/10/2026,4483472,,,1.00,,$2.49
,Cash Sale,7/10/2026,4483467,,,5.00,,$9.95
,Cash Sale,7/11/2026,4483881,,,6.00,,$11.94
,Cash Sale,7/11/2026,4483884,,,1.00,,$2.49
,Cash Sale,7/12/2026,4484297,,,8.00,,$15.92
,Cash Sale,7/12/2026,4484299,,,2.00,,$4.98
Total - $Corn (KR),,,,,,,,$110.47
$Egg (KR),,,,,,,,
,Cash Sale,7/6/2026,4481791,,,43.00,,$85.57
,Cash Sale,7/6/2026,4481792,,,1.00,,$2.49
,Cash Sale,7/7/2026,4482204,,,13.00,,$32.37
,Cash Sale,7/7/2026,4482205,,,3.00,,$5.97
,Cash Sale,7/7/2026,4482203,,,3.00,,$5.97
,Cash Sale,7/7/2026,4482202,,,48.00,,$95.52
,Cash Sale,7/7/2026,4482208,,,2.00,,$4.98
,Cash Sale,7/7/2026,4482206,,,4.00,,$9.96
,Cash Sale,7/8/2026,4482605,,,1.00,,$2.49
,Cash Sale,7/8/2026,4482601,,,44.00,,$87.56
,Cash Sale,7/9/2026,4483032,,,42.00,,$83.58
,Cash Sale,7/9/2026,4483033,,,6.00,,$14.94
,Cash Sale,7/9/2026,4483040,,,1.00,,$1.99
,Cash Sale,7/9/2026,4483039,,,1.00,,$2.49
,Cash Sale,7/9/2026,4483038,,,6.00,,$14.94
,Cash Sale,7/9/2026,4483037,,,5.00,,$12.45
,Cash Sale,7/9/2026,4483036,,,1.00,,$2.49
,Cash Sale,7/10/2026,4483467,,,45.00,,$89.55
,Cash Sale,7/10/2026,4483470,,,3.00,,$7.47
,Cash Sale,7/10/2026,4483469,,,3.00,,$5.97
,Cash Sale,7/10/2026,4483466,,,2.00,,$4.98
,Cash Sale,7/11/2026,4483882,,,3.00,,$7.47
,Cash Sale,7/11/2026,4483884,,,1.00,,$2.49
,Cash Sale,7/11/2026,4483881,,,36.00,,$71.64
,Cash Sale,7/12/2026,4484297,,,43.00,,$85.57
,Cash Sale,7/12/2026,4484300,,,3.00,,$5.97
,Cash Sale,7/12/2026,4484299,,,4.00,,$9.96
,Cash Sale,7/12/2026,4484298,,,3.00,,$7.47
Total - $Egg (KR),,,,,,,,$764.30
$Fried Bean Curb (KR),,,,,,,,
,Cash Sale,7/6/2026,4481793,,,2.00,,$5.98
,Cash Sale,7/7/2026,4482204,,,1.00,,$2.99
,Cash Sale,7/7/2026,4482202,,,3.00,,$8.97
,Cash Sale,7/7/2026,4482206,,,1.00,,$2.99
,Cash Sale,7/8/2026,4482605,,,1.00,,$2.99
,Cash Sale,7/9/2026,4483032,,,4.00,,$11.96
