ingredient,product
edamame,Edamame (KR)
inari,Veg Miso (KR)
inari,Veg Original (KR)
inari,Veg Plain Ramen (KR)
inari,Veg Shoyu (KR)
inari,Veg Spicy (KR)
inari,Veg Spicy Jalapeno Ramen (KR)
inari,Vege Spicy Value Ramen (KR)
inari,$Fried Bean Curb (KR)
ito togarashi,Golden Sesame Ramen (KR)
kizami nori,Tokyo Fries (KR)
oi ocha,Iced Green Tea (KR)
red ginger,Beef Shoyu (KR)
red ginger,Chicken Shoyu (KR)
red ginger,Pork Shoyu (KR)
red ginger,Veg Shoyu (KR)
sencha,Japanese Tea (KR)
tonkatsu sauce,Takoyaki (KR)
menma bamboo shoot,Beef Original (KR)
menma bamboo shoot,Beef Shoyu (KR)
menma bamboo shoot,Beef Miso (KR)
menma bamboo shoot,Beef Spicy (KR)
menma bamboo shoot,Beef Spicy Jalapeno Ramen (KR)
menma bamboo shoot,Chicken Original (KR)
menma bamboo shoot,Chicken Shoyu (KR)
menma bamboo shoot,Chicken Miso (KR)
menma bamboo shoot,Chicken Spicy Garlic Ramen (KR)
menma bamboo shoot,Chicken Spicy Jalapeno (KR)
menma bamboo shoot,Golden Sesame Ramen (KR)
menma bamboo shoot,Pork Original (KR)
menma bamboo shoot,Pork Shoyu (KR)
menma bamboo shoot,Pork Miso (KR)
menma bamboo shoot,Pork Spicy Garlic (KR)
menma bamboo shoot,Pork Spicy Jalapeno Ramen (KR)
menma bamboo shoot,Veg Original (KR)
menma bamboo shoot,Veg Shoyu (KR)
menma bamboo shoot,Veg Miso (KR)
menma bamboo shoot,Veg Spicy (KR)
menma bamboo shoot,Veg Spicy Jalapeno Ramen (KR)
menma bamboo shoot,$Bamboo Shoots (KR)
wood ear mushroom,Beef Original (KR)
wood ear mushroom,Beef Shoyu (KR)
wood ear mushroom,Beef Spicy (KR)
wood ear mushroom,Beef Spicy Jalapeno Ramen (KR)
wood ear mushroom,Chicken Original (KR)
wood ear mushroom,Chicken Shoyu (KR)
wood ear mushroom,Chicken Spicy Garlic Ramen (KR)
wood ear mushroom,Chicken Spicy Jalapeno (KR)
wood ear mushroom,Golden Sesame Ramen (KR)
wood ear mushroom,Pork Original (KR)
wood ear mushroom,Pork Shoyu (KR)
wood ear mushroom,Pork Spicy Garlic (KR)
wood ear mushroom,Pork Spicy Jalapeno Ramen (KR)
wood ear mushroom,Veg Original (KR)
wood ear mushroom,Veg Shoyu (KR)
wood ear mushroom,Veg Miso (KR)
wood ear mushroom,Veg Spicy (KR)
wood ear mushroom,Veg Spicy Jalapeno Ramen (KR)
wood ear mushroom,$Wood Ear Mushrooms (KR)
pork broth,Golden Sesame Ramen (KR)
pork broth,Pork Original (KR)
pork broth,Pork Shoyu (KR)
pork broth,Pork Spicy Garlic (KR)
pork broth,Pork Spicy Jalapeno Ramen (KR)
pork broth,Extra Soup Pork (KR)
