ingredient,product,estimated_qty_per_product
edamame,edamame (kr),0.023999999999999987
inari,veg miso (kr),0.022556390977443608
inari,veg original (kr),0.022556390977443608
inari,veg plain ramen (kr),0.022556390977443608
inari,veg shoyu (kr),0.022556390977443608
inari,veg spicy (kr),0.022556390977443608
inari,veg spicy jalapeno ramen (kr),0.022556390977443608
inari,vege spicy value ramen (kr),0.022556390977443608
inari,$fried bean curb (kr),0.022556390977443608
ito togarashi,golden sesame ramen (kr),0.0
kizami nori,tokyo fries (kr),0.0029239766081871343
oi ocha,iced green tea (kr),0.75
red ginger,beef shoyu (kr),0.010869565217391304
red ginger,chicken shoyu (kr),0.010869565217391304
red ginger,pork shoyu (kr),0.010869565217391304
red ginger,veg shoyu (kr),0.010869565217391304
sencha,japanese tea (kr),0.0
tonkatsu sauce,takoyaki (kr),0.0
menma bamboo shoot,beef original (kr),0.031639501438159155
menma bamboo shoot,beef shoyu (kr),0.031639501438159155
menma bamboo shoot,beef miso (kr),0.031639501438159155
menma bamboo shoot,beef spicy (kr),0.031639501438159155
menma bamboo shoot,beef spicy jalapeno ramen (kr),0.031639501438159155
menma bamboo shoot,chicken original (kr),0.031639501438159155
menma bamboo shoot,chicken shoyu (kr),0.031639501438159155
menma bamboo shoot,chicken miso (kr),0.031639501438159155
menma bamboo shoot,chicken spicy garlic ramen (kr),0.031639501438159155
menma bamboo shoot,chicken spicy jalapeno (kr),0.031639501438159155
menma bamboo shoot,golden sesame ramen (kr),0.031639501438159155
menma bamboo shoot,pork original (kr),0.031639501438159155
menma bamboo shoot,pork shoyu (kr),0.031639501438159155
menma bamboo shoot,pork miso (kr),0.031639501438159155
menma bamboo shoot,pork spicy garlic (kr),0.031639501438159155
menma bamboo shoot,pork spicy jalapeno ramen (kr),0.031639501438159155
menma bamboo shoot,veg original (kr),0.031639501438159155
menma bamboo shoot,veg shoyu (kr),0.031639501438159155
menma bamboo shoot,veg miso (kr),0.031639501438159155
menma bamboo shoot,veg spicy (kr),0.031639501438159155
menma bamboo shoot,veg spicy jalapeno ramen (kr),0.031639501438159155
menma bamboo shoot,$bamboo shoots (kr),0.031639501438159155
wood ear mushroom,beef original (kr),0.022532188841201718
wood ear mushroom,beef shoyu (kr),0.022532188841201718
wood ear mushroom,beef spicy (kr),0.022532188841201718
wood ear mushroom,beef spicy jalapeno ramen (kr),0.022532188841201718
wood ear mushroom,chicken original (kr),0.022532188841201718
wood ear mushroom,chicken shoyu (kr),0.022532188841201718
wood ear mushroom,chicken spicy garlic ramen (kr),0.022532188841201718
wood ear mushroom,chicken spicy jalapeno (kr),0.022532188841201718
wood ear mushroom,golden sesame ramen (kr),0.022532188841201718
wood ear mushroom,pork original (kr),0.022532188841201718
wood ear mushroom,pork shoyu (kr),0.022532188841201718
wood ear mushroom,pork spicy garlic (kr),0.022532188841201718
wood ear mushroom,pork spicy jalapeno ramen (kr),0.022532188841201718
wood ear mushroom,veg original (kr),0.022532188841201718
wood ear mushroom,veg shoyu (kr),0.022532188841201718
wood ear mushroom,veg miso (kr),0.022532188841201718
wood ear mushroom,veg spicy (kr),0.022532188841201718
wood ear mushroom,veg spicy jalapeno ramen (kr),0.022532188841201718
wood ear mushroom,$wood ear mushrooms (kr),0.022532188841201718
pork broth,golden sesame ramen (kr),0.00641025641025641
pork broth,pork original (kr),0.00641025641025641
pork broth,pork shoyu (kr),0.00641025641025641
pork broth,pork spicy garlic (kr),0.00641025641025641
pork broth,pork spicy jalapeno ramen (kr),0.00641025641025641
pork broth,extra soup pork (kr),0.00641025641025641
